t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158218,68,11.340967,0.000000,0.000000,0.000000,events/second
1578158221,664,73.773456,0.000000,0.000000,0.000000,events/second
1578158224,969,80.811151,0.000000,0.000000,0.000000,events/second
1578158227,969,64.638161,0.000000,0.000000,0.000000,events/second
1578158230,969,53.861192,0.000000,0.000000,0.000000,events/second
1578158233,969,46.161429,0.000000,0.000000,0.000000,events/second
1578158236,969,40.387397,0.000000,0.000000,0.000000,events/second
1578158239,969,35.898754,0.000000,0.000000,0.000000,events/second
1578158242,1000,33.344303,0.000000,0.000000,0.000000,events/second
1578158245,1011,30.640621,0.000000,0.000000,0.000000,events/second
1578158248,1013,28.146418,0.000000,0.000000,0.000000,events/second
1578158251,1041,26.698007,0.000000,0.000000,0.000000,events/second
1578158254,1041,24.791542,0.000000,0.000000,0.000000,events/second
1578158257,1041,23.137757,0.000000,0.000000,0.000000,events/second
1578158260,1048,21.837499,0.000000,0.000000,0.000000,events/second
1578158263,1064,20.866467,0.000000,0.000000,0.000000,events/second
1578158266,1072,19.855252,0.000000,0.000000,0.000000,events/second
1578158269,1074,18.844936,0.000000,0.000000,0.000000,events/second
1578158272,1076,17.935976,0.000000,0.000000,0.000000,events/second
1578158275,1076,17.081946,0.000000,0.000000,0.000000,events/second
1578158278,1083,16.411411,0.000000,0.000000,0.000000,events/second
1578158281,1138,16.494535,0.000000,0.000000,0.000000,events/second
1578158284,1142,15.862842,0.000000,0.000000,0.000000,events/second
1578158287,1142,15.228035,0.000000,0.000000,0.000000,events/second
1578158290,1142,14.641794,0.000000,0.000000,0.000000,events/second
1578158293,1142,14.098168,0.000000,0.000000,0.000000,events/second
1578158296,1142,13.596417,0.000000,0.000000,0.000000,events/second
1578158299,1142,13.127579,0.000000,0.000000,0.000000,events/second
1578158302,1158,12.867995,0.000000,0.000000,0.000000,events/second
1578158305,1158,12.452581,0.000000,0.000000,0.000000,events/second
1578158308,1158,12.063675,0.000000,0.000000,0.000000,events/second
1578158311,1158,11.697836,0.000000,0.000000,0.000000,events/second
1578158314,1167,11.441949,0.000000,0.000000,0.000000,events/second
1578158317,1170,11.143500,0.000000,0.000000,0.000000,events/second
1578158320,1176,10.889531,0.000000,0.000000,0.000000,events/second
1578158323,1192,10.739451,0.000000,0.000000,0.000000,events/second
1578158326,1192,10.457079,0.000000,0.000000,0.000000,events/second
1578158329,1192,10.188761,0.000000,0.000000,0.000000,events/second
1578158332,1192,9.933414,0.000000,0.000000,0.000000,events/second
1578158335,1194,9.708065,0.000000,0.000000,0.000000,events/second
1578158338,1194,9.476727,0.000000,0.000000,0.000000,events/second
1578158341,1215,9.419227,0.000000,0.000000,0.000000,events/second
1578158344,1230,9.318858,0.000000,0.000000,0.000000,events/second
