t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158218,46,7.671306,0.000000,0.000000,0.000000,events/second
1578158221,2158,239.744866,0.000000,0.000000,0.000000,events/second
1578158224,2448,204.147571,0.000000,0.000000,0.000000,events/second
1578158227,2448,163.293001,0.000000,0.000000,0.000000,events/second
1578158230,2448,136.067674,0.000000,0.000000,0.000000,events/second
1578158233,2448,116.616546,0.000000,0.000000,0.000000,events/second
1578158236,2448,102.029278,0.000000,0.000000,0.000000,events/second
1578158239,2448,90.690574,0.000000,0.000000,0.000000,events/second
1578158242,2470,82.359543,0.000000,0.000000,0.000000,events/second
1578158245,2481,75.191563,0.000000,0.000000,0.000000,events/second
1578158248,2483,68.990128,0.000000,0.000000,0.000000,events/second
1578158251,2508,64.320948,0.000000,0.000000,0.000000,events/second
1578158254,2508,59.727926,0.000000,0.000000,0.000000,events/second
1578158257,2508,55.743593,0.000000,0.000000,0.000000,events/second
1578158260,2518,52.467994,0.000000,0.000000,0.000000,events/second
1578158263,2533,49.675237,0.000000,0.000000,0.000000,events/second
1578158266,2544,47.118924,0.000000,0.000000,0.000000,events/second
1578158269,2546,44.672759,0.000000,0.000000,0.000000,events/second
1578158272,2548,42.472725,0.000000,0.000000,0.000000,events/second
1578158275,2548,40.450351,0.000000,0.000000,0.000000,events/second
1578158278,2555,38.717430,0.000000,0.000000,0.000000,events/second
1578158281,2609,37.815525,0.000000,0.000000,0.000000,events/second
1578158284,2614,36.309368,0.000000,0.000000,0.000000,events/second
1578158287,2614,34.856316,0.000000,0.000000,0.000000,events/second
1578158290,2614,33.514372,0.000000,0.000000,0.000000,events/second
1578158293,2614,32.270018,0.000000,0.000000,0.000000,events/second
1578158296,2614,31.121634,0.000000,0.000000,0.000000,events/second
1578158299,2614,30.048493,0.000000,0.000000,0.000000,events/second
1578158302,2631,29.236227,0.000000,0.000000,0.000000,events/second
1578158305,2631,28.292429,0.000000,0.000000,0.000000,events/second
1578158308,2631,27.408835,0.000000,0.000000,0.000000,events/second
1578158311,2631,26.577631,0.000000,0.000000,0.000000,events/second
1578158314,2642,25.903634,0.000000,0.000000,0.000000,events/second
1578158317,2645,25.191861,0.000000,0.000000,0.000000,events/second
1578158320,2651,24.547678,0.000000,0.000000,0.000000,events/second
1578158323,2664,24.001528,0.000000,0.000000,0.000000,events/second
1578158326,2664,23.370462,0.000000,0.000000,0.000000,events/second
1578158329,2664,22.770795,0.000000,0.000000,0.000000,events/second
1578158332,2664,22.200126,0.000000,0.000000,0.000000,events/second
1578158335,2666,21.676360,0.000000,0.000000,0.000000,events/second
1578158338,2666,21.159809,0.000000,0.000000,0.000000,events/second
1578158341,2684,20.807528,0.000000,0.000000,0.000000,events/second
1578158344,2704,20.486291,0.000000,0.000000,0.000000,events/second
1578158347,2704,20.030707,0.000000,0.000000,0.000000,events/second
1578158350,2707,19.617060,0.000000,0.000000,0.000000,events/second
1578158353,2707,19.199353,0.000000,0.000000,0.000000,events/second
1578158356,2707,18.799877,0.000000,0.000000,0.000000,events/second
1578158359,2707,18.416081,0.000000,0.000000,0.000000,events/second
1578158362,2715,18.101122,0.000000,0.000000,0.000000,events/second
1578158365,2715,17.745981,0.000000,0.000000,0.000000,events/second
1578158368,2715,17.404752,0.000000,0.000000,0.000000,events/second
1578158371,2715,17.075618,0.000000,0.000000,0.000000,events/second
1578158374,2715,16.760100,0.000000,0.000000,0.000000,events/second
1578158377,2715,16.455170,0.000000,0.000000,0.000000,events/second
1578158380,2721,16.197382,0.000000,0.000000,0.000000,events/second
1578158383,2753,16.099583,0.000000,0.000000,0.000000,events/second
1578158386,2756,15.839870,0.000000,0.000000,0.000000,events/second
1578158389,2756,15.571277,0.000000,0.000000,0.000000,events/second
1578158392,2769,15.384013,0.000000,0.000000,0.000000,events/second
1578158395,2784,15.213694,0.000000,0.000000,0.000000,events/second
1578158398,2784,14.968073,0.000000,0.000000,0.000000,events/second
1578158401,2802,14.826010,0.000000,0.000000,0.000000,events/second
1578158404,2810,14.636142,0.000000,0.000000,0.000000,events/second
1578158407,2812,14.421154,0.000000,0.000000,0.000000,events/second
1578158410,2816,14.222861,0.000000,0.000000,0.000000,events/second
1578158413,2822,14.040298,0.000000,0.000000,0.000000,events/second
1578158416,2825,13.848569,0.000000,0.000000,0.000000,events/second
1578158419,2829,13.667340,0.000000,0.000000,0.000000,events/second
1578158422,2848,13.562387,0.000000,0.000000,0.000000,events/second
1578158425,2852,13.390163,0.000000,0.000000,0.000000,events/second
1578158428,2855,13.218095,0.000000,0.000000,0.000000,events/second
1578158431,2862,13.069014,0.000000,0.000000,0.000000,events/second
1578158434,2874,12.946252,0.000000,0.000000,0.000000,events/second
1578158437,2874,12.773635,0.000000,0.000000,0.000000,events/second
1578158440,2874,12.605621,0.000000,0.000000,0.000000,events/second
1578158443,2886,12.493961,0.000000,0.000000,0.000000,events/second
1578158446,2886,12.333710,0.000000,0.000000,0.000000,events/second
1578158449,2886,12.177662,0.000000,0.000000,0.000000,events/second
1578158452,2886,12.025416,0.000000,0.000000,0.000000,events/second
1578158455,2886,11.877017,0.000000,0.000000,0.000000,events/second
1578158458,2886,11.732156,0.000000,0.000000,0.000000,events/second
1578158461,2903,11.659037,0.000000,0.000000,0.000000,events/second
1578158464,2903,11.520292,0.000000,0.000000,0.000000,events/second
1578158467,2903,11.384569,0.000000,0.000000,0.000000,events/second
1578158470,2903,11.252306,0.000000,0.000000,0.000000,events/second
1578158473,2917,11.176641,0.000000,0.000000,0.000000,events/second
1578158476,2917,11.049666,0.000000,0.000000,0.000000,events/second
1578158479,2917,10.925477,0.000000,0.000000,0.000000,events/second
1578158482,2932,10.859517,0.000000,0.000000,0.000000,events/second
1578158485,2932,10.740303,0.000000,0.000000,0.000000,events/second
1578158488,2932,10.623486,0.000000,0.000000,0.000000,events/second
1578158491,2932,10.509194,0.000000,0.000000,0.000000,events/second
1578158494,2932,10.397518,0.000000,0.000000,0.000000,events/second
1578158497,2932,10.287986,0.000000,0.000000,0.000000,events/second
1578158500,2932,10.180752,0.000000,0.000000,0.000000,events/second
1578158503,2940,10.103330,0.000000,0.000000,0.000000,events/second
1578158506,2940,10.000337,0.000000,0.000000,0.000000,events/second
1578158509,2940,9.899332,0.000000,0.000000,0.000000,events/second
1578158512,2940,9.800245,0.000000,0.000000,0.000000,events/second
1578158515,2940,9.703215,0.000000,0.000000,0.000000,events/second
1578158518,2940,9.608126,0.000000,0.000000,0.000000,events/second
1578158521,2951,9.550476,0.000000,0.000000,0.000000,events/second
1578158524,2951,9.458588,0.000000,0.000000,0.000000,events/second
1578158527,2951,9.368509,0.000000,0.000000,0.000000,events/second
1578158530,2951,9.280095,0.000000,0.000000,0.000000,events/second
1578158533,2951,9.193411,0.000000,0.000000,0.000000,events/second
1578158536,2951,9.108310,0.000000,0.000000,0.000000,events/second
1578158539,2951,9.024738,0.000000,0.000000,0.000000,events/second
1578158542,2959,8.966886,0.000000,0.000000,0.000000,events/second
1578158545,2959,8.886144,0.000000,0.000000,0.000000,events/second
1578158548,2959,8.806750,0.000000,0.000000,0.000000,events/second
1578158551,2959,8.728858,0.000000,0.000000,0.000000,events/second
1578158554,2959,8.652149,0.000000,0.000000,0.000000,events/second
1578158557,2959,8.577051,0.000000,0.000000,0.000000,events/second
1578158560,2959,8.503101,0.000000,0.000000,0.000000,events/second
1578158563,2968,8.456074,0.000000,0.000000,0.000000,events/second
1578158566,2968,8.384376,0.000000,0.000000,0.000000,events/second
1578158569,2968,8.313935,0.000000,0.000000,0.000000,events/second
1578158572,2968,8.244678,0.000000,0.000000,0.000000,events/second
1578158575,2968,8.176496,0.000000,0.000000,0.000000,events/second
1578158578,2968,8.109505,0.000000,0.000000,0.000000,events/second
1578158581,2997,8.122136,0.000000,0.000000,0.000000,events/second
1578158584,2997,8.056663,0.000000,0.000000,0.000000,events/second
1578158587,2997,7.992202,0.000000,0.000000,0.000000,events/second
1578158590,2997,7.928769,0.000000,0.000000,0.000000,events/second
1578158593,2997,7.866339,0.000000,0.000000,0.000000,events/second
1578158596,2997,7.804896,0.000000,0.000000,0.000000,events/second
1578158599,2997,7.744343,0.000000,0.000000,0.000000,events/second
1578158602,3008,7.712968,0.000000,0.000000,0.000000,events/second
1578158605,3008,7.654135,0.000000,0.000000,0.000000,events/second
1578158608,3008,7.596148,0.000000,0.000000,0.000000,events/second
1578158611,3008,7.539025,0.000000,0.000000,0.000000,events/second
