t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158218,1,0.166738,0.000000,0.000000,0.000000,events/second
1578158221,8,0.888642,0.000000,0.000000,0.000000,events/second
1578158224,10,0.833866,0.000000,0.000000,0.000000,events/second
1578158227,10,0.667006,0.000000,0.000000,0.000000,events/second
1578158230,10,0.555802,0.000000,0.000000,0.000000,events/second
1578158233,10,0.476353,0.000000,0.000000,0.000000,events/second
1578158236,10,0.416766,0.000000,0.000000,0.000000,events/second
1578158239,10,0.370455,0.000000,0.000000,0.000000,events/second
1578158242,12,0.400114,0.000000,0.000000,0.000000,events/second
1578158245,12,0.363673,0.000000,0.000000,0.000000,events/second
1578158248,12,0.333412,0.000000,0.000000,0.000000,events/second
1578158251,14,0.359040,0.000000,0.000000,0.000000,events/second
1578158254,14,0.333402,0.000000,0.000000,0.000000,events/second
1578158257,14,0.311162,0.000000,0.000000,0.000000,events/second
1578158260,14,0.291715,0.000000,0.000000,0.000000,events/second
1578158263,16,0.313774,0.000000,0.000000,0.000000,events/second
1578158266,16,0.296340,0.000000,0.000000,0.000000,events/second
1578158269,16,0.280734,0.000000,0.000000,0.000000,events/second
1578158272,16,0.266701,0.000000,0.000000,0.000000,events/second
1578158275,16,0.254002,0.000000,0.000000,0.000000,events/second
1578158278,16,0.242454,0.000000,0.000000,0.000000,events/second
1578158281,18,0.260893,0.000000,0.000000,0.000000,events/second
1578158284,18,0.250023,0.000000,0.000000,0.000000,events/second
1578158287,18,0.240017,0.000000,0.000000,0.000000,events/second
1578158290,18,0.230777,0.000000,0.000000,0.000000,events/second
1578158293,18,0.222208,0.000000,0.000000,0.000000,events/second
1578158296,18,0.214301,0.000000,0.000000,0.000000,events/second
1578158299,18,0.206912,0.000000,0.000000,0.000000,events/second
1578158302,20,0.222242,0.000000,0.000000,0.000000,events/second
1578158305,20,0.215068,0.000000,0.000000,0.000000,events/second
