t,value
1578158215,0
1578158218,0
1578158221,3
1578158224,5
1578158227,5
1578158230,5
1578158233,5
1578158236,5
1578158239,5
1578158242,5
1578158245,5
1578158248,5
1578158251,5
1578158254,5
1578158257,5
1578158260,5
1578158263,5
1578158266,5
1578158269,5
1578158272,5
1578158275,5
1578158278,5
1578158281,5
1578158284,5
1578158287,5
1578158290,5
1578158293,5
1578158296,5
1578158299,5
1578158302,5
1578158305,5
1578158308,5
1578158311,5
1578158314,5
1578158317,5
1578158320,5
1578158323,5
1578158326,5
1578158329,5
1578158332,5
1578158335,5
1578158338,5
1578158341,5
1578158344,5
1578158347,5
1578158350,5
1578158353,5
1578158356,5
1578158359,5
1578158362,5
1578158365,5
1578158368,5
1578158371,5
1578158374,5
1578158377,5
1578158380,5
1578158383,5
1578158386,5
1578158389,5
1578158392,5
1578158395,5
1578158398,5
1578158401,5
1578158404,5
1578158407,5
1578158410,5
1578158413,5
1578158416,5
1578158419,5
1578158422,5
1578158425,5
1578158428,5
1578158431,5
1578158434,5
1578158437,5
1578158440,5
1578158443,5
1578158446,5
1578158449,5
1578158452,5
1578158455,5
1578158458,5
1578158461,5
1578158464,5
1578158467,5
1578158470,5
1578158473,5
1578158476,5
1578158479,5
1578158482,5
1578158485,5
1578158488,5
1578158491,5
1578158494,5
1578158497,5
1578158500,5
1578158503,5
1578158506,5
1578158509,5
1578158512,5
1578158515,5
1578158518,5
1578158521,5
1578158524,5
1578158527,5
1578158530,5
1578158533,5
1578158536,5
1578158539,5
1578158542,5
1578158545,5
1578158548,5
1578158551,5
1578158554,5
1578158557,5
1578158560,5
1578158563,5
1578158566,5
1578158569,5
1578158572,5
1578158575,5
1578158578,5
1578158581,5
1578158584,5
1578158587,5
1578158590,5
1578158593,5
1578158596,5
1578158599,5
1578158602,5
1578158605,5
1578158608,5
1578158611,5
1578158614,5
1578158617,5
1578158620,5
1578158623,5
1578158626,5
1578158629,5
1578158632,5
1578158635,5
1578158638,5
1578158641,5
1578158644,5
1578158647,5
1578158650,5
1578158653,5
1578158656,5
1578158659,5
1578158662,5
1578158665,5
1578158668,5
1578158671,5
1578158674,5
1578158677,5
1578158680,5
1578158683,5
1578158686,5
1578158689,5
1578158692,5
1578158695,5
1578158698,5
1578158701,5
1578158704,5
1578158707,5
1578158710,5
1578158713,5
1578158716,5
1578158719,5
1578158722,5
1578158725,5
1578158728,5
1578158731,5
1578158734,5
1578158737,5
1578158740,5
1578158743,5
1578158746,5
1578158749,5
1578158752,5
1578158755,5
1578158758,5
1578158761,5
1578158764,5
1578158767,5
1578158770,5
1578158773,5
1578158776,5
1578158779,5
1578158782,5
1578158785,5
1578158788,5
1578158791,5
1578158794,5
1578158797,5
1578158800,5
1578158803,5
1578158806,5
1578158809,5
1578158812,5
1578158815,5
1578158818,5
1578158821,5
1578158824,5
1578158827,5
1578158830,5
1578158833,5
1578158836,5
1578158839,5
1578158842,5
1578158845,5
1578158848,5
1578158851,5
1578158854,5
1578158857,5
1578158860,5
1578158863,5
1578158866,5
1578158869,5
1578158872,5
1578158875,5
1578158878,5
1578158881,5
1578158884,5
1578158887,5
1578158890,5
1578158893,5
1578158896,5
1578158899,5
1578158902,5
1578158905,5
1578158908,5
1578158911,5
1578158914,5
1578158917,5
1578158920,5
1578158923,5
1578158926,5
1578158929,4
1578158932,5
1578158935,5
1578158938,5
1578158941,5
1578158944,5
1578158947,5
1578158950,5
1578158953,5
1578158956,5
1578158959,5
1578158962,5
1578158965,5
1578158968,5
1578158971,5
1578158974,5
1578158977,5
1578158980,5
1578158983,5
1578158986,5
1578158989,5
1578158992,5
1578158995,5
1578158998,5
1578159001,5
1578159004,5
1578159007,5
1578159010,5
1578159013,5
1578159016,5
1578159019,5
1578159022,5
1578159025,5
1578159028,5
1578159031,5
1578159034,5
1578159037,5
1578159040,5
1578159043,5
1578159046,5
1578159049,5
1578159052,5
1578159055,5
1578159058,5
1578159061,5
1578159064,5
1578159067,5
1578159070,5
1578159073,5
1578159076,5
1578159079,5
1578159082,5
1578159085,5
1578159088,5
1578159091,5
1578159094,5
1578159097,5
1578159100,5
1578159103,5
1578159106,5
1578159109,5
1578159112,5
1578159115,5
1578159118,5
1578159121,5
1578159124,5
1578159127,5
1578159130,5
1578159133,5
