t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158218,5,0.833693,0.000000,0.000000,0.000000,events/second
1578158221,43,4.776334,0.000000,0.000000,0.000000,events/second
1578158224,56,4.669673,0.000000,0.000000,0.000000,events/second
1578158227,56,3.735270,0.000000,0.000000,0.000000,events/second
1578158230,56,3.112519,0.000000,0.000000,0.000000,events/second
1578158233,56,2.667589,0.000000,0.000000,0.000000,events/second
1578158236,56,2.333857,0.000000,0.000000,0.000000,events/second
1578158239,56,2.074567,0.000000,0.000000,0.000000,events/second
1578158242,69,2.300667,0.000000,0.000000,0.000000,events/second
1578158245,73,2.212357,0.000000,0.000000,0.000000,events/second
1578158248,77,2.139405,0.000000,0.000000,0.000000,events/second
1578158251,98,2.513295,0.000000,0.000000,0.000000,events/second
1578158254,98,2.333829,0.000000,0.000000,0.000000,events/second
1578158257,98,2.178147,0.000000,0.000000,0.000000,events/second
1578158260,106,2.208708,0.000000,0.000000,0.000000,events/second
1578158263,119,2.333705,0.000000,0.000000,0.000000,events/second
1578158266,131,2.426298,0.000000,0.000000,0.000000,events/second
1578158269,135,2.368694,0.000000,0.000000,0.000000,events/second
1578158272,139,2.316972,0.000000,0.000000,0.000000,events/second
1578158275,139,2.206648,0.000000,0.000000,0.000000,events/second
1578158278,151,2.288170,0.000000,0.000000,0.000000,events/second
1578158281,172,2.492987,0.000000,0.000000,0.000000,events/second
1578158284,180,2.500240,0.000000,0.000000,0.000000,events/second
1578158287,180,2.400181,0.000000,0.000000,0.000000,events/second
1578158290,180,2.307770,0.000000,0.000000,0.000000,events/second
1578158293,180,2.222084,0.000000,0.000000,0.000000,events/second
1578158296,180,2.143017,0.000000,0.000000,0.000000,events/second
1578158299,180,2.069122,0.000000,0.000000,0.000000,events/second
1578158302,193,2.144640,0.000000,0.000000,0.000000,events/second
1578158305,193,2.075405,0.000000,0.000000,0.000000,events/second
1578158308,193,2.010592,0.000000,0.000000,0.000000,events/second
1578158311,193,1.949617,0.000000,0.000000,0.000000,events/second
1578158314,205,2.009920,0.000000,0.000000,0.000000,events/second
1578158317,209,1.990572,0.000000,0.000000,0.000000,events/second
1578158320,221,2.046399,0.000000,0.000000,0.000000,events/second
1578158323,234,2.108229,0.000000,0.000000,0.000000,events/second
1578158326,234,2.052799,0.000000,0.000000,0.000000,events/second
1578158329,234,2.000125,0.000000,0.000000,0.000000,events/second
1578158332,234,1.949998,0.000000,0.000000,0.000000,events/second
1578158335,238,1.935075,0.000000,0.000000,0.000000,events/second
1578158338,238,1.888961,0.000000,0.000000,0.000000,events/second
1578158341,259,2.007869,0.000000,0.000000,0.000000,events/second
1578158344,284,2.151656,0.000000,0.000000,0.000000,events/second
1578158347,284,2.103807,0.000000,0.000000,0.000000,events/second
1578158350,288,2.087065,0.000000,0.000000,0.000000,events/second
1578158353,288,2.042626,0.000000,0.000000,0.000000,events/second
1578158356,288,2.000125,0.000000,0.000000,0.000000,events/second
1578158359,288,1.959290,0.000000,0.000000,0.000000,events/second
1578158362,301,2.006782,0.000000,0.000000,0.000000,events/second
1578158365,301,1.967406,0.000000,0.000000,0.000000,events/second
1578158368,301,1.929580,0.000000,0.000000,0.000000,events/second
1578158371,301,1.893089,0.000000,0.000000,0.000000,events/second
1578158374,301,1.858110,0.000000,0.000000,0.000000,events/second
1578158377,301,1.824305,0.000000,0.000000,0.000000,events/second
1578158380,305,1.815576,0.000000,0.000000,0.000000,events/second
1578158383,343,2.005861,0.000000,0.000000,0.000000,events/second
1578158386,351,2.017333,0.000000,0.000000,0.000000,events/second
1578158389,351,1.983127,0.000000,0.000000,0.000000,events/second
1578158392,367,2.038971,0.000000,0.000000,0.000000,events/second
1578158395,388,2.120292,0.000000,0.000000,0.000000,events/second
1578158398,388,2.086061,0.000000,0.000000,0.000000,events/second
1578158401,405,2.142938,0.000000,0.000000,0.000000,events/second
1578158404,417,2.171975,0.000000,0.000000,0.000000,events/second
1578158407,421,2.159063,0.000000,0.000000,0.000000,events/second
1578158410,429,2.166757,0.000000,0.000000,0.000000,events/second
1578158413,437,2.174197,0.000000,0.000000,0.000000,events/second
1578158416,441,2.161839,0.000000,0.000000,0.000000,events/second
1578158419,449,2.169181,0.000000,0.000000,0.000000,events/second
1578158422,470,2.238168,0.000000,0.000000,0.000000,events/second
1578158425,478,2.244207,0.000000,0.000000,0.000000,events/second
1578158428,482,2.231560,0.000000,0.000000,0.000000,events/second
1578158431,490,2.237526,0.000000,0.000000,0.000000,events/second
