t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158218,14,2.334023,0.000000,0.000000,0.000000,events/second
1578158221,53,5.886436,0.000000,0.000000,0.000000,events/second
1578158224,66,5.503165,0.000000,0.000000,0.000000,events/second
1578158227,66,4.402109,0.000000,0.000000,0.000000,events/second
1578158230,66,3.668168,0.000000,0.000000,0.000000,events/second
1578158233,66,3.143852,0.000000,0.000000,0.000000,events/second
1578158236,66,2.750519,0.000000,0.000000,0.000000,events/second
1578158239,66,2.444961,0.000000,0.000000,0.000000,events/second
1578158242,81,2.700739,0.000000,0.000000,0.000000,events/second
1578158245,85,2.575990,0.000000,0.000000,0.000000,events/second
1578158248,89,2.472785,0.000000,0.000000,0.000000,events/second
1578158251,112,2.872301,0.000000,0.000000,0.000000,events/second
1578158254,112,2.667202,0.000000,0.000000,0.000000,events/second
1578158257,112,2.489283,0.000000,0.000000,0.000000,events/second
1578158260,120,2.500397,0.000000,0.000000,0.000000,events/second
1578158263,135,2.647454,0.000000,0.000000,0.000000,events/second
1578158266,147,2.722615,0.000000,0.000000,0.000000,events/second
1578158269,151,2.649403,0.000000,0.000000,0.000000,events/second
1578158272,155,2.583653,0.000000,0.000000,0.000000,events/second
1578158275,155,2.460632,0.000000,0.000000,0.000000,events/second
1578158278,167,2.530606,0.000000,0.000000,0.000000,events/second
1578158281,190,2.753856,0.000000,0.000000,0.000000,events/second
1578158284,198,2.750243,0.000000,0.000000,0.000000,events/second
1578158287,198,2.640180,0.000000,0.000000,0.000000,events/second
1578158290,198,2.538528,0.000000,0.000000,0.000000,events/second
1578158293,198,2.444272,0.000000,0.000000,0.000000,events/second
1578158296,198,2.357303,0.000000,0.000000,0.000000,events/second
1578158299,198,2.276019,0.000000,0.000000,0.000000,events/second
1578158302,213,2.366870,0.000000,0.000000,0.000000,events/second
1578158305,213,2.290457,0.000000,0.000000,0.000000,events/second
1578158308,213,2.218932,0.000000,0.000000,0.000000,events/second
1578158311,213,2.151640,0.000000,0.000000,0.000000,events/second
1578158314,225,2.205999,0.000000,0.000000,0.000000,events/second
1578158317,229,2.181048,0.000000,0.000000,0.000000,events/second
1578158320,241,2.231584,0.000000,0.000000,0.000000,events/second
1578158323,256,2.306427,0.000000,0.000000,0.000000,events/second
1578158326,256,2.245788,0.000000,0.000000,0.000000,events/second
1578158329,256,2.188162,0.000000,0.000000,0.000000,events/second
1578158332,256,2.133319,0.000000,0.000000,0.000000,events/second
1578158335,260,2.113937,0.000000,0.000000,0.000000,events/second
1578158338,260,2.063557,0.000000,0.000000,0.000000,events/second
1578158341,283,2.193917,0.000000,0.000000,0.000000,events/second
1578158344,310,2.348631,0.000000,0.000000,0.000000,events/second
