t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158218,6,1.000244,0.000000,0.000000,0.000000,events/second
1578158221,44,4.886536,0.000000,0.000000,0.000000,events/second
1578158224,56,4.669261,0.000000,0.000000,0.000000,events/second
1578158227,56,3.735093,0.000000,0.000000,0.000000,events/second
1578158230,56,3.112356,0.000000,0.000000,0.000000,events/second
1578158233,56,2.667499,0.000000,0.000000,0.000000,events/second
1578158236,56,2.333748,0.000000,0.000000,0.000000,events/second
1578158239,56,2.074494,0.000000,0.000000,0.000000,events/second
1578158242,69,2.300624,0.000000,0.000000,0.000000,events/second
1578158245,73,2.212316,0.000000,0.000000,0.000000,events/second
1578158248,77,2.139372,0.000000,0.000000,0.000000,events/second
1578158251,98,2.513260,0.000000,0.000000,0.000000,events/second
1578158254,98,2.333798,0.000000,0.000000,0.000000,events/second
1578158257,98,2.178119,0.000000,0.000000,0.000000,events/second
1578158260,106,2.208680,0.000000,0.000000,0.000000,events/second
1578158263,119,2.333679,0.000000,0.000000,0.000000,events/second
1578158266,131,2.426273,0.000000,0.000000,0.000000,events/second
1578158269,135,2.368666,0.000000,0.000000,0.000000,events/second
1578158272,139,2.316951,0.000000,0.000000,0.000000,events/second
1578158275,139,2.206629,0.000000,0.000000,0.000000,events/second
1578158278,151,2.288151,0.000000,0.000000,0.000000,events/second
1578158281,172,2.492962,0.000000,0.000000,0.000000,events/second
1578158284,180,2.500216,0.000000,0.000000,0.000000,events/second
1578158287,180,2.400161,0.000000,0.000000,0.000000,events/second
1578158290,180,2.307749,0.000000,0.000000,0.000000,events/second
1578158293,180,2.222062,0.000000,0.000000,0.000000,events/second
1578158296,180,2.143001,0.000000,0.000000,0.000000,events/second
1578158299,180,2.069106,0.000000,0.000000,0.000000,events/second
1578158302,193,2.144625,0.000000,0.000000,0.000000,events/second
1578158305,193,2.075386,0.000000,0.000000,0.000000,events/second
1578158308,193,2.010580,0.000000,0.000000,0.000000,events/second
1578158311,193,1.949607,0.000000,0.000000,0.000000,events/second
1578158314,205,2.009909,0.000000,0.000000,0.000000,events/second
1578158317,209,1.990562,0.000000,0.000000,0.000000,events/second
