t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158218,2,0.333350,0.000000,0.000000,0.000000,events/second
1578158221,13,1.443554,0.000000,0.000000,0.000000,events/second
1578158224,15,1.250582,0.000000,0.000000,0.000000,events/second
1578158227,15,1.000407,0.000000,0.000000,0.000000,events/second
1578158230,15,0.833623,0.000000,0.000000,0.000000,events/second
1578158233,15,0.714476,0.000000,0.000000,0.000000,events/second
1578158236,15,0.625083,0.000000,0.000000,0.000000,events/second
1578158239,15,0.555648,0.000000,0.000000,0.000000,events/second
1578158242,17,0.566803,0.000000,0.000000,0.000000,events/second
1578158245,17,0.515182,0.000000,0.000000,0.000000,events/second
1578158248,17,0.472317,0.000000,0.000000,0.000000,events/second
1578158251,19,0.487253,0.000000,0.000000,0.000000,events/second
1578158254,19,0.452461,0.000000,0.000000,0.000000,events/second
1578158257,19,0.422280,0.000000,0.000000,0.000000,events/second
1578158260,19,0.395888,0.000000,0.000000,0.000000,events/second
1578158263,21,0.411818,0.000000,0.000000,0.000000,events/second
1578158266,21,0.388938,0.000000,0.000000,0.000000,events/second
1578158269,21,0.368453,0.000000,0.000000,0.000000,events/second
1578158272,21,0.350038,0.000000,0.000000,0.000000,events/second
1578158275,21,0.333371,0.000000,0.000000,0.000000,events/second
1578158278,21,0.318215,0.000000,0.000000,0.000000,events/second
1578158281,23,0.333357,0.000000,0.000000,0.000000,events/second
1578158284,23,0.319468,0.000000,0.000000,0.000000,events/second
1578158287,23,0.306684,0.000000,0.000000,0.000000,events/second
1578158290,23,0.294876,0.000000,0.000000,0.000000,events/second
1578158293,23,0.283927,0.000000,0.000000,0.000000,events/second
1578158296,23,0.273825,0.000000,0.000000,0.000000,events/second
1578158299,23,0.264383,0.000000,0.000000,0.000000,events/second
1578158302,25,0.277798,0.000000,0.000000,0.000000,events/second
1578158305,25,0.268829,0.000000,0.000000,0.000000,events/second
1578158308,25,0.260435,0.000000,0.000000,0.000000,events/second
1578158311,25,0.252537,0.000000,0.000000,0.000000,events/second
1578158314,25,0.245109,0.000000,0.000000,0.000000,events/second
1578158317,25,0.238103,0.000000,0.000000,0.000000,events/second
1578158320,25,0.231490,0.000000,0.000000,0.000000,events/second
1578158323,27,0.243254,0.000000,0.000000,0.000000,events/second
1578158326,27,0.236858,0.000000,0.000000,0.000000,events/second
1578158329,27,0.230781,0.000000,0.000000,0.000000,events/second
1578158332,27,0.224996,0.000000,0.000000,0.000000,events/second
1578158335,27,0.219522,0.000000,0.000000,0.000000,events/second
1578158338,27,0.214290,0.000000,0.000000,0.000000,events/second
1578158341,29,0.224817,0.000000,0.000000,0.000000,events/second
1578158344,31,0.234861,0.000000,0.000000,0.000000,events/second
1578158347,31,0.229638,0.000000,0.000000,0.000000,events/second
1578158350,31,0.224647,0.000000,0.000000,0.000000,events/second
1578158353,31,0.219864,0.000000,0.000000,0.000000,events/second
1578158356,31,0.215289,0.000000,0.000000,0.000000,events/second
1578158359,31,0.210893,0.000000,0.000000,0.000000,events/second
1578158362,33,0.220011,0.000000,0.000000,0.000000,events/second
1578158365,33,0.215693,0.000000,0.000000,0.000000,events/second
1578158368,33,0.211547,0.000000,0.000000,0.000000,events/second
1578158371,33,0.207546,0.000000,0.000000,0.000000,events/second
1578158374,33,0.203711,0.000000,0.000000,0.000000,events/second
1578158377,33,0.200005,0.000000,0.000000,0.000000,events/second
1578158380,33,0.196438,0.000000,0.000000,0.000000,events/second
1578158383,37,0.216374,0.000000,0.000000,0.000000,events/second
1578158386,37,0.212651,0.000000,0.000000,0.000000,events/second
