t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,14,4.547177,0.000000,0.000000,0.000000,events/second
1578158218,14,2.328606,0.000000,0.000000,0.000000,events/second
1578158221,14,1.552418,0.000000,0.000000,0.000000,events/second
1578158224,14,1.166008,0.000000,0.000000,0.000000,events/second
1578158227,14,0.933027,0.000000,0.000000,0.000000,events/second
1578158230,14,0.777541,0.000000,0.000000,0.000000,events/second
1578158233,14,0.666500,0.000000,0.000000,0.000000,events/second
1578158236,14,0.583121,0.000000,0.000000,0.000000,events/second
1578158239,14,0.518383,0.000000,0.000000,0.000000,events/second
1578158242,14,0.466617,0.000000,0.000000,0.000000,events/second
1578158245,14,0.424136,0.000000,0.000000,0.000000,events/second
1578158248,14,0.388856,0.000000,0.000000,0.000000,events/second
1578158251,14,0.358935,0.000000,0.000000,0.000000,events/second
1578158254,14,0.333311,0.000000,0.000000,0.000000,events/second
1578158257,14,0.311083,0.000000,0.000000,0.000000,events/second
1578158260,14,0.291645,0.000000,0.000000,0.000000,events/second
1578158263,14,0.274490,0.000000,0.000000,0.000000,events/second
1578158266,14,0.259242,0.000000,0.000000,0.000000,events/second
1578158269,14,0.245592,0.000000,0.000000,0.000000,events/second
1578158272,14,0.233319,0.000000,0.000000,0.000000,events/second
1578158275,14,0.222211,0.000000,0.000000,0.000000,events/second
1578158278,14,0.212111,0.000000,0.000000,0.000000,events/second
1578158281,14,0.202883,0.000000,0.000000,0.000000,events/second
1578158284,14,0.194431,0.000000,0.000000,0.000000,events/second
1578158287,14,0.186652,0.000000,0.000000,0.000000,events/second
1578158290,14,0.179466,0.000000,0.000000,0.000000,events/second
1578158293,14,0.172804,0.000000,0.000000,0.000000,events/second
1578158296,14,0.166656,0.000000,0.000000,0.000000,events/second
1578158299,14,0.160910,0.000000,0.000000,0.000000,events/second
1578158302,14,0.155549,0.000000,0.000000,0.000000,events/second
1578158305,14,0.150527,0.000000,0.000000,0.000000,events/second
1578158308,14,0.145828,0.000000,0.000000,0.000000,events/second
1578158311,14,0.141407,0.000000,0.000000,0.000000,events/second
1578158314,14,0.137247,0.000000,0.000000,0.000000,events/second
1578158317,14,0.133325,0.000000,0.000000,0.000000,events/second
1578158320,14,0.129622,0.000000,0.000000,0.000000,events/second
1578158323,14,0.126117,0.000000,0.000000,0.000000,events/second
1578158326,14,0.122805,0.000000,0.000000,0.000000,events/second
1578158329,14,0.119654,0.000000,0.000000,0.000000,events/second
1578158332,14,0.116654,0.000000,0.000000,0.000000,events/second
1578158335,14,0.113817,0.000000,0.000000,0.000000,events/second
1578158338,14,0.111100,0.000000,0.000000,0.000000,events/second
1578158341,14,0.108523,0.000000,0.000000,0.000000,events/second
1578158344,14,0.106058,0.000000,0.000000,0.000000,events/second
1578158347,14,0.103700,0.000000,0.000000,0.000000,events/second
1578158350,14,0.101446,0.000000,0.000000,0.000000,events/second
1578158353,14,0.099286,0.000000,0.000000,0.000000,events/second
1578158356,14,0.097220,0.000000,0.000000,0.000000,events/second
1578158359,14,0.095235,0.000000,0.000000,0.000000,events/second
1578158362,14,0.093332,0.000000,0.000000,0.000000,events/second
1578158365,14,0.091500,0.000000,0.000000,0.000000,events/second
1578158368,14,0.089741,0.000000,0.000000,0.000000,events/second
1578158371,14,0.088044,0.000000,0.000000,0.000000,events/second
1578158374,14,0.086418,0.000000,0.000000,0.000000,events/second
1578158377,14,0.084846,0.000000,0.000000,0.000000,events/second
1578158380,14,0.083332,0.000000,0.000000,0.000000,events/second
1578158383,14,0.081866,0.000000,0.000000,0.000000,events/second
1578158386,14,0.080458,0.000000,0.000000,0.000000,events/second
1578158389,14,0.079094,0.000000,0.000000,0.000000,events/second
1578158392,14,0.077776,0.000000,0.000000,0.000000,events/second
1578158395,14,0.076501,0.000000,0.000000,0.000000,events/second
1578158398,14,0.075266,0.000000,0.000000,0.000000,events/second
1578158401,14,0.074072,0.000000,0.000000,0.000000,events/second
1578158404,14,0.072915,0.000000,0.000000,0.000000,events/second
1578158407,14,0.071794,0.000000,0.000000,0.000000,events/second
1578158410,14,0.070706,0.000000,0.000000,0.000000,events/second
1578158413,14,0.069650,0.000000,0.000000,0.000000,events/second
1578158416,14,0.068626,0.000000,0.000000,0.000000,events/second
1578158419,14,0.067632,0.000000,0.000000,0.000000,events/second
1578158422,14,0.066665,0.000000,0.000000,0.000000,events/second
1578158425,14,0.065726,0.000000,0.000000,0.000000,events/second
1578158428,14,0.064814,0.000000,0.000000,0.000000,events/second
1578158431,14,0.063926,0.000000,0.000000,0.000000,events/second
1578158434,14,0.063061,0.000000,0.000000,0.000000,events/second
1578158437,14,0.062220,0.000000,0.000000,0.000000,events/second
1578158440,14,0.061402,0.000000,0.000000,0.000000,events/second
1578158443,14,0.060605,0.000000,0.000000,0.000000,events/second
1578158446,14,0.059828,0.000000,0.000000,0.000000,events/second
1578158449,14,0.059071,0.000000,0.000000,0.000000,events/second
1578158452,14,0.058332,0.000000,0.000000,0.000000,events/second
1578158455,14,0.057613,0.000000,0.000000,0.000000,events/second
