t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,32,10.388062,0.000000,0.000000,0.000000,events/second
1578158218,32,5.322138,0.000000,0.000000,0.000000,events/second
1578158221,32,3.548137,0.000000,0.000000,0.000000,events/second
1578158224,32,2.665064,0.000000,0.000000,0.000000,events/second
1578158227,32,2.132585,0.000000,0.000000,0.000000,events/second
1578158230,32,1.777193,0.000000,0.000000,0.000000,events/second
1578158233,32,1.523405,0.000000,0.000000,0.000000,events/second
1578158236,32,1.332820,0.000000,0.000000,0.000000,events/second
1578158239,32,1.184861,0.000000,0.000000,0.000000,events/second
1578158242,32,1.066543,0.000000,0.000000,0.000000,events/second
1578158245,32,0.969445,0.000000,0.000000,0.000000,events/second
1578158248,32,0.888806,0.000000,0.000000,0.000000,events/second
1578158251,32,0.820417,0.000000,0.000000,0.000000,events/second
1578158254,32,0.761849,0.000000,0.000000,0.000000,events/second
1578158257,32,0.711042,0.000000,0.000000,0.000000,events/second
1578158260,32,0.666613,0.000000,0.000000,0.000000,events/second
1578158263,32,0.627402,0.000000,0.000000,0.000000,events/second
1578158266,32,0.592549,0.000000,0.000000,0.000000,events/second
1578158269,32,0.561350,0.000000,0.000000,0.000000,events/second
1578158272,38,0.633290,0.000000,0.000000,0.000000,events/second
1578158275,38,0.603141,0.000000,0.000000,0.000000,events/second
1578158278,38,0.575727,0.000000,0.000000,0.000000,events/second
1578158281,38,0.550681,0.000000,0.000000,0.000000,events/second
1578158284,38,0.527740,0.000000,0.000000,0.000000,events/second
1578158287,38,0.506624,0.000000,0.000000,0.000000,events/second
1578158290,38,0.487119,0.000000,0.000000,0.000000,events/second
1578158293,38,0.469037,0.000000,0.000000,0.000000,events/second
1578158296,38,0.452350,0.000000,0.000000,0.000000,events/second
1578158299,38,0.436755,0.000000,0.000000,0.000000,events/second
1578158302,38,0.422203,0.000000,0.000000,0.000000,events/second
1578158305,38,0.408571,0.000000,0.000000,0.000000,events/second
1578158308,38,0.395817,0.000000,0.000000,0.000000,events/second
1578158311,38,0.383817,0.000000,0.000000,0.000000,events/second
