t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,23,7.461878,0.000000,0.000000,0.000000,events/second
1578158218,23,3.824762,0.000000,0.000000,0.000000,events/second
1578158221,23,2.549949,0.000000,0.000000,0.000000,events/second
1578158224,23,1.915397,0.000000,0.000000,0.000000,events/second
1578158227,23,1.532729,0.000000,0.000000,0.000000,events/second
1578158230,23,1.277312,0.000000,0.000000,0.000000,events/second
1578158233,23,1.094914,0.000000,0.000000,0.000000,events/second
1578158236,23,0.957936,0.000000,0.000000,0.000000,events/second
1578158239,23,0.851594,0.000000,0.000000,0.000000,events/second
1578158242,23,0.766561,0.000000,0.000000,0.000000,events/second
1578158245,23,0.696776,0.000000,0.000000,0.000000,events/second
1578158248,23,0.638818,0.000000,0.000000,0.000000,events/second
1578158251,23,0.589666,0.000000,0.000000,0.000000,events/second
1578158254,23,0.547571,0.000000,0.000000,0.000000,events/second
1578158257,23,0.511054,0.000000,0.000000,0.000000,events/second
1578158260,23,0.479122,0.000000,0.000000,0.000000,events/second
1578158263,23,0.450940,0.000000,0.000000,0.000000,events/second
1578158266,23,0.425889,0.000000,0.000000,0.000000,events/second
1578158269,23,0.403466,0.000000,0.000000,0.000000,events/second
1578158272,23,0.383303,0.000000,0.000000,0.000000,events/second
1578158275,23,0.365055,0.000000,0.000000,0.000000,events/second
1578158278,23,0.348463,0.000000,0.000000,0.000000,events/second
1578158281,23,0.333304,0.000000,0.000000,0.000000,events/second
1578158284,23,0.319419,0.000000,0.000000,0.000000,events/second
1578158287,23,0.306639,0.000000,0.000000,0.000000,events/second
1578158290,23,0.294832,0.000000,0.000000,0.000000,events/second
1578158293,23,0.283888,0.000000,0.000000,0.000000,events/second
1578158296,23,0.273789,0.000000,0.000000,0.000000,events/second
1578158299,23,0.264350,0.000000,0.000000,0.000000,events/second
1578158302,23,0.255542,0.000000,0.000000,0.000000,events/second
1578158305,23,0.247291,0.000000,0.000000,0.000000,events/second
1578158308,23,0.239572,0.000000,0.000000,0.000000,events/second
1578158311,23,0.232309,0.000000,0.000000,0.000000,events/second
1578158314,23,0.225476,0.000000,0.000000,0.000000,events/second
1578158317,23,0.219032,0.000000,0.000000,0.000000,events/second
