t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,69,22.375603,0.000000,0.000000,0.000000,events/second
1578158218,69,11.473997,0.000000,0.000000,0.000000,events/second
1578158221,69,7.649258,0.000000,0.000000,0.000000,events/second
1578158224,69,5.746174,0.000000,0.000000,0.000000,events/second
1578158227,69,4.598193,0.000000,0.000000,0.000000,events/second
1578158230,69,3.831949,0.000000,0.000000,0.000000,events/second
1578158233,69,3.284744,0.000000,0.000000,0.000000,events/second
1578158236,69,2.873796,0.000000,0.000000,0.000000,events/second
1578158239,69,2.554782,0.000000,0.000000,0.000000,events/second
1578158242,69,2.299686,0.000000,0.000000,0.000000,events/second
1578158245,69,2.090333,0.000000,0.000000,0.000000,events/second
1578158248,69,1.916459,0.000000,0.000000,0.000000,events/second
1578158251,69,1.769000,0.000000,0.000000,0.000000,events/second
1578158254,69,1.642715,0.000000,0.000000,0.000000,events/second
1578158257,69,1.533161,0.000000,0.000000,0.000000,events/second
1578158260,69,1.437369,0.000000,0.000000,0.000000,events/second
1578158263,69,1.352821,0.000000,0.000000,0.000000,events/second
1578158266,69,1.277669,0.000000,0.000000,0.000000,events/second
1578158269,69,1.210400,0.000000,0.000000,0.000000,events/second
1578158272,89,1.483219,0.000000,0.000000,0.000000,events/second
1578158275,89,1.412607,0.000000,0.000000,0.000000,events/second
1578158278,89,1.348402,0.000000,0.000000,0.000000,events/second
1578158281,89,1.289743,0.000000,0.000000,0.000000,events/second
1578158284,89,1.236013,0.000000,0.000000,0.000000,events/second
1578158287,89,1.186559,0.000000,0.000000,0.000000,events/second
1578158290,89,1.140874,0.000000,0.000000,0.000000,events/second
1578158293,89,1.098526,0.000000,0.000000,0.000000,events/second
1578158296,89,1.059444,0.000000,0.000000,0.000000,events/second
1578158299,89,1.022919,0.000000,0.000000,0.000000,events/second
1578158302,89,0.988839,0.000000,0.000000,0.000000,events/second
1578158305,89,0.956911,0.000000,0.000000,0.000000,events/second
1578158308,89,0.927038,0.000000,0.000000,0.000000,events/second
1578158311,89,0.898934,0.000000,0.000000,0.000000,events/second
1578158314,89,0.872495,0.000000,0.000000,0.000000,events/second
1578158317,89,0.847561,0.000000,0.000000,0.000000,events/second
1578158320,89,0.824020,0.000000,0.000000,0.000000,events/second
1578158323,89,0.801734,0.000000,0.000000,0.000000,events/second
1578158326,89,0.780681,0.000000,0.000000,0.000000,events/second
1578158329,89,0.760651,0.000000,0.000000,0.000000,events/second
1578158332,109,0.908229,0.000000,0.000000,0.000000,events/second
1578158335,109,0.886140,0.000000,0.000000,0.000000,events/second
1578158338,109,0.864985,0.000000,0.000000,0.000000,events/second
1578158341,109,0.844924,0.000000,0.000000,0.000000,events/second
1578158344,109,0.825734,0.000000,0.000000,0.000000,events/second
1578158347,109,0.807373,0.000000,0.000000,0.000000,events/second
1578158350,109,0.789825,0.000000,0.000000,0.000000,events/second
1578158353,109,0.773010,0.000000,0.000000,0.000000,events/second
1578158356,109,0.756926,0.000000,0.000000,0.000000,events/second
1578158359,109,0.741469,0.000000,0.000000,0.000000,events/second
1578158362,109,0.726648,0.000000,0.000000,0.000000,events/second
1578158365,109,0.712385,0.000000,0.000000,0.000000,events/second
1578158368,109,0.698697,0.000000,0.000000,0.000000,events/second
1578158371,109,0.685484,0.000000,0.000000,0.000000,events/second
1578158374,109,0.672820,0.000000,0.000000,0.000000,events/second
1578158377,109,0.660580,0.000000,0.000000,0.000000,events/second
1578158380,109,0.648798,0.000000,0.000000,0.000000,events/second
1578158383,109,0.637386,0.000000,0.000000,0.000000,events/second
1578158386,109,0.626419,0.000000,0.000000,0.000000,events/second
1578158389,109,0.615799,0.000000,0.000000,0.000000,events/second
1578158392,129,0.716647,0.000000,0.000000,0.000000,events/second
1578158395,129,0.704895,0.000000,0.000000,0.000000,events/second
1578158398,129,0.693515,0.000000,0.000000,0.000000,events/second
1578158401,129,0.682520,0.000000,0.000000,0.000000,events/second
1578158404,129,0.671858,0.000000,0.000000,0.000000,events/second
1578158407,129,0.661524,0.000000,0.000000,0.000000,events/second
1578158410,129,0.651502,0.000000,0.000000,0.000000,events/second
1578158413,129,0.641772,0.000000,0.000000,0.000000,events/second
1578158416,129,0.632337,0.000000,0.000000,0.000000,events/second
1578158419,129,0.623179,0.000000,0.000000,0.000000,events/second
1578158422,129,0.614270,0.000000,0.000000,0.000000,events/second
1578158425,129,0.605619,0.000000,0.000000,0.000000,events/second
1578158428,129,0.597209,0.000000,0.000000,0.000000,events/second
1578158431,129,0.589029,0.000000,0.000000,0.000000,events/second
1578158434,129,0.581061,0.000000,0.000000,0.000000,events/second
1578158437,129,0.573314,0.000000,0.000000,0.000000,events/second
1578158440,129,0.565774,0.000000,0.000000,0.000000,events/second
1578158443,129,0.558431,0.000000,0.000000,0.000000,events/second
1578158446,129,0.551269,0.000000,0.000000,0.000000,events/second
1578158449,129,0.544294,0.000000,0.000000,0.000000,events/second
1578158452,149,0.620819,0.000000,0.000000,0.000000,events/second
1578158455,149,0.613159,0.000000,0.000000,0.000000,events/second
1578158458,149,0.605683,0.000000,0.000000,0.000000,events/second
1578158461,149,0.598383,0.000000,0.000000,0.000000,events/second
1578158464,149,0.591261,0.000000,0.000000,0.000000,events/second
1578158467,149,0.584298,0.000000,0.000000,0.000000,events/second
1578158470,149,0.577509,0.000000,0.000000,0.000000,events/second
1578158473,149,0.570873,0.000000,0.000000,0.000000,events/second
1578158476,149,0.564388,0.000000,0.000000,0.000000,events/second
1578158479,149,0.558045,0.000000,0.000000,0.000000,events/second
1578158482,149,0.551838,0.000000,0.000000,0.000000,events/second
1578158485,149,0.545780,0.000000,0.000000,0.000000,events/second
1578158488,149,0.539845,0.000000,0.000000,0.000000,events/second
1578158491,149,0.534037,0.000000,0.000000,0.000000,events/second
1578158494,149,0.528363,0.000000,0.000000,0.000000,events/second
1578158497,149,0.522797,0.000000,0.000000,0.000000,events/second
1578158500,149,0.517348,0.000000,0.000000,0.000000,events/second
1578158503,149,0.512016,0.000000,0.000000,0.000000,events/second
1578158506,149,0.506798,0.000000,0.000000,0.000000,events/second
1578158509,149,0.501679,0.000000,0.000000,0.000000,events/second
1578158512,169,0.563323,0.000000,0.000000,0.000000,events/second
1578158515,169,0.557746,0.000000,0.000000,0.000000,events/second
