t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,52,16.855434,0.000000,0.000000,0.000000,events/second
1578158218,52,8.646843,0.000000,0.000000,0.000000,events/second
1578158221,52,5.764452,0.000000,0.000000,0.000000,events/second
1578158224,52,4.330380,0.000000,0.000000,0.000000,events/second
1578158227,52,3.465248,0.000000,0.000000,0.000000,events/second
1578158230,52,2.887828,0.000000,0.000000,0.000000,events/second
1578158233,52,2.475449,0.000000,0.000000,0.000000,events/second
1578158236,52,2.165748,0.000000,0.000000,0.000000,events/second
1578158239,52,1.925329,0.000000,0.000000,0.000000,events/second
1578158242,52,1.733091,0.000000,0.000000,0.000000,events/second
1578158245,52,1.575321,0.000000,0.000000,0.000000,events/second
1578158248,52,1.444285,0.000000,0.000000,0.000000,events/second
1578158251,52,1.333158,0.000000,0.000000,0.000000,events/second
1578158254,52,1.237985,0.000000,0.000000,0.000000,events/second
1578158257,52,1.155422,0.000000,0.000000,0.000000,events/second
1578158260,52,1.083233,0.000000,0.000000,0.000000,events/second
1578158263,52,1.019516,0.000000,0.000000,0.000000,events/second
1578158266,52,0.962880,0.000000,0.000000,0.000000,events/second
1578158269,52,0.912185,0.000000,0.000000,0.000000,events/second
1578158272,58,0.966592,0.000000,0.000000,0.000000,events/second
1578158275,58,0.920575,0.000000,0.000000,0.000000,events/second
1578158278,58,0.878733,0.000000,0.000000,0.000000,events/second
1578158281,58,0.840506,0.000000,0.000000,0.000000,events/second
1578158284,58,0.805491,0.000000,0.000000,0.000000,events/second
1578158287,58,0.773263,0.000000,0.000000,0.000000,events/second
1578158290,58,0.743491,0.000000,0.000000,0.000000,events/second
1578158293,58,0.715893,0.000000,0.000000,0.000000,events/second
1578158296,58,0.690424,0.000000,0.000000,0.000000,events/second
1578158299,58,0.666621,0.000000,0.000000,0.000000,events/second
1578158302,58,0.644411,0.000000,0.000000,0.000000,events/second
1578158305,58,0.623604,0.000000,0.000000,0.000000,events/second
1578158308,58,0.604137,0.000000,0.000000,0.000000,events/second
1578158311,58,0.585822,0.000000,0.000000,0.000000,events/second
