t,value
1578158215,-1
1578158218,15
1578158221,15
1578158224,15
1578158227,15
1578158230,15
1578158233,15
1578158236,15
1578158239,15
1578158242,15
1578158245,15
1578158248,15
1578158251,15
1578158254,15
1578158257,15
1578158260,15
1578158263,15
1578158266,15
1578158269,15
1578158272,15
1578158275,15
1578158278,14
1578158281,14
1578158284,14
1578158287,14
1578158290,14
1578158293,14
1578158296,14
1578158299,14
1578158302,14
1578158305,14
1578158308,14
1578158311,14
1578158314,14
1578158317,14
1578158320,14
1578158323,14
1578158326,14
1578158329,14
1578158332,14
1578158335,14
1578158338,13
1578158341,13
1578158344,13
1578158347,13
1578158350,13
1578158353,13
1578158356,13
1578158359,13
1578158362,13
1578158365,13
1578158368,13
1578158371,13
1578158374,13
1578158377,13
1578158380,13
1578158383,13
1578158386,13
1578158389,13
1578158392,13
1578158395,13
1578158398,12
1578158401,12
1578158404,12
1578158407,12
1578158410,12
1578158413,12
1578158416,12
1578158419,12
1578158422,12
1578158425,12
1578158428,12
1578158431,12
1578158434,12
1578158437,12
1578158440,12
1578158443,12
1578158446,12
1578158449,12
1578158452,12
1578158455,12
1578158458,12
1578158461,12
1578158464,12
1578158467,12
1578158470,12
1578158473,12
1578158476,12
1578158479,12
1578158482,12
1578158485,12
1578158488,12
1578158491,12
1578158494,12
1578158497,12
1578158500,12
1578158503,12
1578158506,12
1578158509,12
1578158512,12
1578158515,12
1578158518,12
1578158521,12
1578158524,12
1578158527,12
1578158530,12
1578158533,12
1578158536,12
1578158539,12
1578158542,12
1578158545,12
1578158548,12
1578158551,12
1578158554,12
1578158557,12
1578158560,12
1578158563,12
1578158566,12
1578158569,12
1578158572,12
1578158575,12
1578158578,12
1578158581,12
1578158584,12
1578158587,12
1578158590,12
1578158593,12
1578158596,12
1578158599,12
1578158602,12
1578158605,12
1578158608,12
1578158611,12
1578158614,12
1578158617,12
1578158620,12
1578158623,12
1578158626,12
1578158629,12
1578158632,12
1578158635,12
1578158638,12
1578158641,12
1578158644,12
1578158647,12
1578158650,12
1578158653,12
1578158656,12
1578158659,12
1578158662,12
1578158665,12
1578158668,12
1578158671,12
1578158674,12
1578158677,12
1578158680,12
1578158683,12
1578158686,12
1578158689,12
1578158692,12
1578158695,12
1578158698,12
1578158701,12
1578158704,12
1578158707,12
1578158710,12
1578158713,12
1578158716,12
1578158719,12
1578158722,12
1578158725,12
1578158728,12
1578158731,12
1578158734,12
1578158737,12
1578158740,12
1578158743,12
1578158746,12
1578158749,12
1578158752,12
1578158755,12
