t,value
1578158215,-1
1578158218,4
1578158221,4
1578158224,4
1578158227,4
1578158230,4
1578158233,4
1578158236,4
1578158239,4
1578158242,4
1578158245,4
1578158248,4
1578158251,4
1578158254,4
1578158257,4
1578158260,4
1578158263,4
1578158266,4
1578158269,4
1578158272,4
1578158275,4
1578158278,4
1578158281,4
1578158284,4
1578158287,4
1578158290,4
1578158293,4
1578158296,4
1578158299,4
1578158302,4
1578158305,4
1578158308,4
1578158311,4
1578158314,4
1578158317,4
1578158320,4
1578158323,4
1578158326,4
1578158329,4
1578158332,4
1578158335,4
1578158338,3
1578158341,3
1578158344,3
1578158347,3
1578158350,3
1578158353,3
1578158356,3
1578158359,3
1578158362,3
1578158365,3
1578158368,3
1578158371,3
1578158374,3
1578158377,3
1578158380,3
1578158383,3
1578158386,3
1578158389,3
1578158392,3
1578158395,3
1578158398,2
1578158401,2
1578158404,2
1578158407,2
1578158410,2
1578158413,2
1578158416,2
1578158419,2
1578158422,2
1578158425,2
1578158428,2
1578158431,2
1578158434,2
1578158437,2
1578158440,2
1578158443,2
1578158446,2
1578158449,2
1578158452,2
1578158455,2
1578158458,2
1578158461,2
1578158464,2
1578158467,2
1578158470,2
1578158473,2
1578158476,2
1578158479,2
1578158482,2
1578158485,2
1578158488,2
1578158491,2
1578158494,2
1578158497,2
1578158500,2
1578158503,2
1578158506,2
1578158509,2
1578158512,2
1578158515,2
1578158518,2
1578158521,2
1578158524,2
1578158527,2
1578158530,2
1578158533,2
1578158536,2
1578158539,2
1578158542,2
1578158545,2
1578158548,2
1578158551,2
1578158554,2
1578158557,2
1578158560,2
1578158563,2
1578158566,2
1578158569,2
1578158572,2
1578158575,2
1578158578,2
1578158581,2
1578158584,2
1578158587,2
1578158590,2
1578158593,2
1578158596,2
1578158599,2
1578158602,2
1578158605,2
1578158608,2
1578158611,2
1578158614,2
1578158617,2
1578158620,2
1578158623,2
1578158626,2
1578158629,2
1578158632,2
1578158635,2
1578158638,2
1578158641,2
1578158644,2
1578158647,2
1578158650,2
1578158653,2
1578158656,2
1578158659,2
1578158662,2
1578158665,2
1578158668,2
1578158671,2
1578158674,2
1578158677,2
1578158680,2
1578158683,2
1578158686,2
1578158689,2
1578158692,2
1578158695,2
1578158698,2
1578158701,2
1578158704,2
1578158707,2
1578158710,2
1578158713,2
1578158716,2
1578158719,2
1578158722,2
1578158725,2
1578158728,2
1578158731,2
1578158734,2
1578158737,2
1578158740,2
1578158743,2
1578158746,2
1578158749,2
1578158752,2
1578158755,2
1578158758,2
1578158761,2
1578158764,2
1578158767,2
1578158770,2
1578158773,2
1578158776,2
1578158779,2
1578158782,2
1578158785,2
1578158788,2
1578158791,2
1578158794,2
1578158797,2
1578158800,2
1578158803,2
1578158806,2
1578158809,2
1578158812,2
1578158815,2
1578158818,2
1578158821,2
1578158824,2
1578158827,2
1578158830,2
1578158833,2
1578158836,2
1578158839,2
1578158842,2
1578158845,2
1578158848,2
1578158851,2
1578158854,2
1578158857,2
1578158860,2
1578158863,2
1578158866,2
1578158869,2
1578158872,2
1578158875,2
1578158878,2
1578158881,2
1578158884,2
1578158887,2
1578158890,2
1578158893,2
1578158896,2
1578158899,2
1578158902,2
1578158905,2
1578158908,2
1578158911,2
1578158914,2
1578158917,2
1578158920,2
1578158923,2
1578158926,2
1578158929,2
1578158932,2
1578158935,2
1578158938,2
1578158941,2
1578158944,2
1578158947,2
1578158950,2
1578158953,2
1578158956,2
1578158959,2
1578158962,2
1578158965,2
1578158968,2
1578158971,2
1578158974,2
1578158977,2
1578158980,2
1578158983,2
1578158986,2
