t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,1,0.323728,0.000000,0.000000,0.000000,events/second
1578158218,2,0.332433,0.000000,0.000000,0.000000,events/second
1578158221,14,1.551533,0.000000,0.000000,0.000000,events/second
1578158224,17,1.415417,0.000000,0.000000,0.000000,events/second
1578158227,17,1.132688,0.000000,0.000000,0.000000,events/second
1578158230,17,0.943978,0.000000,0.000000,0.000000,events/second
1578158233,17,0.809194,0.000000,0.000000,0.000000,events/second
1578158236,17,0.707965,0.000000,0.000000,0.000000,events/second
1578158239,17,0.629377,0.000000,0.000000,0.000000,events/second
1578158242,20,0.666521,0.000000,0.000000,0.000000,events/second
1578158245,20,0.605851,0.000000,0.000000,0.000000,events/second
1578158248,20,0.555459,0.000000,0.000000,0.000000,events/second
1578158251,23,0.589632,0.000000,0.000000,0.000000,events/second
1578158254,23,0.547540,0.000000,0.000000,0.000000,events/second
1578158257,23,0.511024,0.000000,0.000000,0.000000,events/second
1578158260,23,0.479100,0.000000,0.000000,0.000000,events/second
1578158263,26,0.509735,0.000000,0.000000,0.000000,events/second
1578158266,26,0.481420,0.000000,0.000000,0.000000,events/second
1578158269,26,0.456074,0.000000,0.000000,0.000000,events/second
1578158272,26,0.433284,0.000000,0.000000,0.000000,events/second
1578158275,26,0.412657,0.000000,0.000000,0.000000,events/second
1578158278,26,0.393902,0.000000,0.000000,0.000000,events/second
1578158281,29,0.420239,0.000000,0.000000,0.000000,events/second
1578158284,29,0.402733,0.000000,0.000000,0.000000,events/second
1578158287,29,0.386620,0.000000,0.000000,0.000000,events/second
1578158290,29,0.371735,0.000000,0.000000,0.000000,events/second
1578158293,29,0.357937,0.000000,0.000000,0.000000,events/second
1578158296,29,0.345203,0.000000,0.000000,0.000000,events/second
1578158299,29,0.333302,0.000000,0.000000,0.000000,events/second
1578158302,32,0.355528,0.000000,0.000000,0.000000,events/second
1578158305,32,0.344049,0.000000,0.000000,0.000000,events/second
1578158308,32,0.333309,0.000000,0.000000,0.000000,events/second
1578158311,32,0.323205,0.000000,0.000000,0.000000,events/second
1578158314,32,0.313699,0.000000,0.000000,0.000000,events/second
1578158317,32,0.304734,0.000000,0.000000,0.000000,events/second
1578158320,32,0.296271,0.000000,0.000000,0.000000,events/second
1578158323,35,0.315282,0.000000,0.000000,0.000000,events/second
1578158326,35,0.307003,0.000000,0.000000,0.000000,events/second
1578158329,35,0.299127,0.000000,0.000000,0.000000,events/second
1578158332,35,0.291627,0.000000,0.000000,0.000000,events/second
1578158335,35,0.284535,0.000000,0.000000,0.000000,events/second
1578158338,35,0.277742,0.000000,0.000000,0.000000,events/second
1578158341,38,0.294555,0.000000,0.000000,0.000000,events/second
1578158344,41,0.310591,0.000000,0.000000,0.000000,events/second
1578158347,41,0.303686,0.000000,0.000000,0.000000,events/second
1578158350,41,0.297085,0.000000,0.000000,0.000000,events/second
1578158353,41,0.290761,0.000000,0.000000,0.000000,events/second
1578158356,41,0.284710,0.000000,0.000000,0.000000,events/second
