t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,1,0.323315,0.000000,0.000000,0.000000,events/second
1578158218,1,0.166227,0.000000,0.000000,0.000000,events/second
1578158221,1,0.110808,0.000000,0.000000,0.000000,events/second
1578158224,1,0.083264,0.000000,0.000000,0.000000,events/second
1578158227,1,0.066631,0.000000,0.000000,0.000000,events/second
1578158230,1,0.055531,0.000000,0.000000,0.000000,events/second
1578158233,1,0.047602,0.000000,0.000000,0.000000,events/second
1578158236,1,0.041646,0.000000,0.000000,0.000000,events/second
1578158239,1,0.037023,0.000000,0.000000,0.000000,events/second
1578158242,1,0.033327,0.000000,0.000000,0.000000,events/second
1578158245,1,0.030293,0.000000,0.000000,0.000000,events/second
1578158248,1,0.027774,0.000000,0.000000,0.000000,events/second
1578158251,1,0.025637,0.000000,0.000000,0.000000,events/second
1578158254,1,0.023807,0.000000,0.000000,0.000000,events/second
1578158257,1,0.022219,0.000000,0.000000,0.000000,events/second
1578158260,1,0.020831,0.000000,0.000000,0.000000,events/second
1578158263,1,0.019606,0.000000,0.000000,0.000000,events/second
1578158266,1,0.018516,0.000000,0.000000,0.000000,events/second
1578158269,1,0.017542,0.000000,0.000000,0.000000,events/second
1578158272,1,0.016665,0.000000,0.000000,0.000000,events/second
1578158275,1,0.015872,0.000000,0.000000,0.000000,events/second
1578158278,1,0.015150,0.000000,0.000000,0.000000,events/second
1578158281,1,0.014491,0.000000,0.000000,0.000000,events/second
1578158284,1,0.013888,0.000000,0.000000,0.000000,events/second
1578158287,1,0.013332,0.000000,0.000000,0.000000,events/second
1578158290,1,0.012819,0.000000,0.000000,0.000000,events/second
1578158293,1,0.012343,0.000000,0.000000,0.000000,events/second
1578158296,1,0.011904,0.000000,0.000000,0.000000,events/second
1578158299,1,0.011493,0.000000,0.000000,0.000000,events/second
1578158302,1,0.011110,0.000000,0.000000,0.000000,events/second
1578158305,1,0.010752,0.000000,0.000000,0.000000,events/second
1578158308,1,0.010416,0.000000,0.000000,0.000000,events/second
1578158311,1,0.010100,0.000000,0.000000,0.000000,events/second
1578158314,1,0.009803,0.000000,0.000000,0.000000,events/second
1578158317,1,0.009523,0.000000,0.000000,0.000000,events/second
1578158320,1,0.009259,0.000000,0.000000,0.000000,events/second
1578158323,1,0.009008,0.000000,0.000000,0.000000,events/second
1578158326,1,0.008772,0.000000,0.000000,0.000000,events/second
1578158329,1,0.008547,0.000000,0.000000,0.000000,events/second
1578158332,1,0.008332,0.000000,0.000000,0.000000,events/second
1578158335,1,0.008130,0.000000,0.000000,0.000000,events/second
1578158338,1,0.007936,0.000000,0.000000,0.000000,events/second
1578158341,1,0.007752,0.000000,0.000000,0.000000,events/second
1578158344,1,0.007575,0.000000,0.000000,0.000000,events/second
1578158347,1,0.007407,0.000000,0.000000,0.000000,events/second
1578158350,1,0.007246,0.000000,0.000000,0.000000,events/second
1578158353,1,0.007092,0.000000,0.000000,0.000000,events/second
1578158356,1,0.006944,0.000000,0.000000,0.000000,events/second
1578158359,1,0.006802,0.000000,0.000000,0.000000,events/second
1578158362,1,0.006666,0.000000,0.000000,0.000000,events/second
1578158365,1,0.006536,0.000000,0.000000,0.000000,events/second
1578158368,1,0.006410,0.000000,0.000000,0.000000,events/second
1578158371,1,0.006289,0.000000,0.000000,0.000000,events/second
1578158374,1,0.006173,0.000000,0.000000,0.000000,events/second
1578158377,1,0.006060,0.000000,0.000000,0.000000,events/second
1578158380,1,0.005952,0.000000,0.000000,0.000000,events/second
1578158383,1,0.005848,0.000000,0.000000,0.000000,events/second
1578158386,1,0.005747,0.000000,0.000000,0.000000,events/second
1578158389,1,0.005649,0.000000,0.000000,0.000000,events/second
1578158392,1,0.005555,0.000000,0.000000,0.000000,events/second
1578158395,1,0.005464,0.000000,0.000000,0.000000,events/second
1578158398,1,0.005376,0.000000,0.000000,0.000000,events/second
1578158401,1,0.005291,0.000000,0.000000,0.000000,events/second
1578158404,1,0.005208,0.000000,0.000000,0.000000,events/second
1578158407,1,0.005128,0.000000,0.000000,0.000000,events/second
1578158410,1,0.005050,0.000000,0.000000,0.000000,events/second
1578158413,1,0.004975,0.000000,0.000000,0.000000,events/second
1578158416,1,0.004902,0.000000,0.000000,0.000000,events/second
1578158419,1,0.004831,0.000000,0.000000,0.000000,events/second
1578158422,1,0.004762,0.000000,0.000000,0.000000,events/second
1578158425,1,0.004695,0.000000,0.000000,0.000000,events/second
1578158428,1,0.004629,0.000000,0.000000,0.000000,events/second
1578158431,1,0.004566,0.000000,0.000000,0.000000,events/second
1578158434,1,0.004504,0.000000,0.000000,0.000000,events/second
1578158437,1,0.004444,0.000000,0.000000,0.000000,events/second
1578158440,1,0.004386,0.000000,0.000000,0.000000,events/second
1578158443,1,0.004329,0.000000,0.000000,0.000000,events/second
1578158446,1,0.004273,0.000000,0.000000,0.000000,events/second
1578158449,1,0.004219,0.000000,0.000000,0.000000,events/second
1578158452,1,0.004167,0.000000,0.000000,0.000000,events/second
1578158455,1,0.004115,0.000000,0.000000,0.000000,events/second
1578158458,1,0.004065,0.000000,0.000000,0.000000,events/second
1578158461,1,0.004016,0.000000,0.000000,0.000000,events/second
1578158464,1,0.003968,0.000000,0.000000,0.000000,events/second
1578158467,1,0.003921,0.000000,0.000000,0.000000,events/second
1578158470,1,0.003876,0.000000,0.000000,0.000000,events/second
1578158473,1,0.003831,0.000000,0.000000,0.000000,events/second
1578158476,1,0.003788,0.000000,0.000000,0.000000,events/second
1578158479,1,0.003745,0.000000,0.000000,0.000000,events/second
1578158482,1,0.003704,0.000000,0.000000,0.000000,events/second
1578158485,1,0.003663,0.000000,0.000000,0.000000,events/second
1578158488,1,0.003623,0.000000,0.000000,0.000000,events/second
1578158491,1,0.003584,0.000000,0.000000,0.000000,events/second
1578158494,1,0.003546,0.000000,0.000000,0.000000,events/second
