t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,1,0.322738,0.000000,0.000000,0.000000,events/second
1578158218,1,0.166126,0.000000,0.000000,0.000000,events/second
1578158221,3,0.332292,0.000000,0.000000,0.000000,events/second
1578158224,3,0.249731,0.000000,0.000000,0.000000,events/second
1578158227,3,0.199852,0.000000,0.000000,0.000000,events/second
1578158230,3,0.166565,0.000000,0.000000,0.000000,events/second
1578158233,3,0.142785,0.000000,0.000000,0.000000,events/second
1578158236,3,0.124920,0.000000,0.000000,0.000000,events/second
1578158239,3,0.111058,0.000000,0.000000,0.000000,events/second
1578158242,3,0.099971,0.000000,0.000000,0.000000,events/second
1578158245,3,0.090872,0.000000,0.000000,0.000000,events/second
1578158248,3,0.083314,0.000000,0.000000,0.000000,events/second
1578158251,3,0.076905,0.000000,0.000000,0.000000,events/second
1578158254,3,0.071415,0.000000,0.000000,0.000000,events/second
1578158257,3,0.066652,0.000000,0.000000,0.000000,events/second
1578158260,3,0.062489,0.000000,0.000000,0.000000,events/second
1578158263,3,0.058813,0.000000,0.000000,0.000000,events/second
1578158266,3,0.055546,0.000000,0.000000,0.000000,events/second
1578158269,3,0.052622,0.000000,0.000000,0.000000,events/second
1578158272,3,0.049993,0.000000,0.000000,0.000000,events/second
1578158275,3,0.047613,0.000000,0.000000,0.000000,events/second
1578158278,3,0.045449,0.000000,0.000000,0.000000,events/second
1578158281,3,0.043472,0.000000,0.000000,0.000000,events/second
1578158284,3,0.041661,0.000000,0.000000,0.000000,events/second
1578158287,3,0.039994,0.000000,0.000000,0.000000,events/second
1578158290,3,0.038454,0.000000,0.000000,0.000000,events/second
1578158293,3,0.037027,0.000000,0.000000,0.000000,events/second
1578158296,3,0.035710,0.000000,0.000000,0.000000,events/second
1578158299,3,0.034479,0.000000,0.000000,0.000000,events/second
1578158302,3,0.033330,0.000000,0.000000,0.000000,events/second
1578158305,3,0.032254,0.000000,0.000000,0.000000,events/second
1578158308,3,0.031247,0.000000,0.000000,0.000000,events/second
1578158311,3,0.030300,0.000000,0.000000,0.000000,events/second
1578158314,3,0.029409,0.000000,0.000000,0.000000,events/second
1578158317,3,0.028568,0.000000,0.000000,0.000000,events/second
1578158320,3,0.027775,0.000000,0.000000,0.000000,events/second
1578158323,3,0.027024,0.000000,0.000000,0.000000,events/second
1578158326,3,0.026314,0.000000,0.000000,0.000000,events/second
1578158329,3,0.025639,0.000000,0.000000,0.000000,events/second
1578158332,3,0.024996,0.000000,0.000000,0.000000,events/second
1578158335,3,0.024388,0.000000,0.000000,0.000000,events/second
1578158338,3,0.023806,0.000000,0.000000,0.000000,events/second
1578158341,3,0.023254,0.000000,0.000000,0.000000,events/second
1578158344,3,0.022726,0.000000,0.000000,0.000000,events/second
1578158347,3,0.022221,0.000000,0.000000,0.000000,events/second
1578158350,3,0.021738,0.000000,0.000000,0.000000,events/second
1578158353,3,0.021275,0.000000,0.000000,0.000000,events/second
1578158356,3,0.020832,0.000000,0.000000,0.000000,events/second
1578158359,3,0.020407,0.000000,0.000000,0.000000,events/second
1578158362,3,0.019999,0.000000,0.000000,0.000000,events/second
1578158365,3,0.019606,0.000000,0.000000,0.000000,events/second
1578158368,3,0.019230,0.000000,0.000000,0.000000,events/second
1578158371,3,0.018866,0.000000,0.000000,0.000000,events/second
1578158374,3,0.018518,0.000000,0.000000,0.000000,events/second
1578158377,3,0.018181,0.000000,0.000000,0.000000,events/second
1578158380,3,0.017856,0.000000,0.000000,0.000000,events/second
1578158383,3,0.017542,0.000000,0.000000,0.000000,events/second
1578158386,3,0.017240,0.000000,0.000000,0.000000,events/second
1578158389,3,0.016948,0.000000,0.000000,0.000000,events/second
1578158392,3,0.016666,0.000000,0.000000,0.000000,events/second
1578158395,3,0.016393,0.000000,0.000000,0.000000,events/second
1578158398,3,0.016128,0.000000,0.000000,0.000000,events/second
1578158401,3,0.015872,0.000000,0.000000,0.000000,events/second
1578158404,3,0.015624,0.000000,0.000000,0.000000,events/second
1578158407,3,0.015384,0.000000,0.000000,0.000000,events/second
1578158410,3,0.015151,0.000000,0.000000,0.000000,events/second
1578158413,3,0.014925,0.000000,0.000000,0.000000,events/second
1578158416,3,0.014705,0.000000,0.000000,0.000000,events/second
1578158419,3,0.014492,0.000000,0.000000,0.000000,events/second
1578158422,3,0.014285,0.000000,0.000000,0.000000,events/second
1578158425,3,0.014084,0.000000,0.000000,0.000000,events/second
1578158428,3,0.013888,0.000000,0.000000,0.000000,events/second
1578158431,3,0.013698,0.000000,0.000000,0.000000,events/second
1578158434,3,0.013513,0.000000,0.000000,0.000000,events/second
1578158437,3,0.013333,0.000000,0.000000,0.000000,events/second
1578158440,3,0.013157,0.000000,0.000000,0.000000,events/second
1578158443,3,0.012987,0.000000,0.000000,0.000000,events/second
1578158446,3,0.012820,0.000000,0.000000,0.000000,events/second
1578158449,3,0.012658,0.000000,0.000000,0.000000,events/second
1578158452,3,0.012499,0.000000,0.000000,0.000000,events/second
1578158455,3,0.012345,0.000000,0.000000,0.000000,events/second
1578158458,3,0.012195,0.000000,0.000000,0.000000,events/second
1578158461,3,0.012048,0.000000,0.000000,0.000000,events/second
1578158464,3,0.011904,0.000000,0.000000,0.000000,events/second
1578158467,3,0.011764,0.000000,0.000000,0.000000,events/second
1578158470,3,0.011628,0.000000,0.000000,0.000000,events/second
1578158473,3,0.011494,0.000000,0.000000,0.000000,events/second
1578158476,3,0.011363,0.000000,0.000000,0.000000,events/second
1578158479,3,0.011236,0.000000,0.000000,0.000000,events/second
1578158482,3,0.011111,0.000000,0.000000,0.000000,events/second
1578158485,3,0.010989,0.000000,0.000000,0.000000,events/second
1578158488,3,0.010869,0.000000,0.000000,0.000000,events/second
1578158491,3,0.010752,0.000000,0.000000,0.000000,events/second
1578158494,3,0.010638,0.000000,0.000000,0.000000,events/second
1578158497,3,0.010526,0.000000,0.000000,0.000000,events/second
1578158500,3,0.010416,0.000000,0.000000,0.000000,events/second
1578158503,3,0.010309,0.000000,0.000000,0.000000,events/second
1578158506,3,0.010204,0.000000,0.000000,0.000000,events/second
1578158509,3,0.010101,0.000000,0.000000,0.000000,events/second
1578158512,3,0.010000,0.000000,0.000000,0.000000,events/second
1578158515,3,0.009901,0.000000,0.000000,0.000000,events/second
1578158518,3,0.009804,0.000000,0.000000,0.000000,events/second
1578158521,3,0.009709,0.000000,0.000000,0.000000,events/second
1578158524,3,0.009615,0.000000,0.000000,0.000000,events/second
1578158527,3,0.009524,0.000000,0.000000,0.000000,events/second
1578158530,3,0.009434,0.000000,0.000000,0.000000,events/second
1578158533,3,0.009346,0.000000,0.000000,0.000000,events/second
1578158536,3,0.009259,0.000000,0.000000,0.000000,events/second
1578158539,3,0.009174,0.000000,0.000000,0.000000,events/second
1578158542,3,0.009091,0.000000,0.000000,0.000000,events/second
1578158545,3,0.009009,0.000000,0.000000,0.000000,events/second
1578158548,3,0.008928,0.000000,0.000000,0.000000,events/second
1578158551,3,0.008849,0.000000,0.000000,0.000000,events/second
1578158554,3,0.008771,0.000000,0.000000,0.000000,events/second
1578158557,3,0.008695,0.000000,0.000000,0.000000,events/second
1578158560,3,0.008621,0.000000,0.000000,0.000000,events/second
1578158563,3,0.008547,0.000000,0.000000,0.000000,events/second
1578158566,3,0.008474,0.000000,0.000000,0.000000,events/second
1578158569,3,0.008403,0.000000,0.000000,0.000000,events/second
1578158572,3,0.008333,0.000000,0.000000,0.000000,events/second
1578158575,3,0.008264,0.000000,0.000000,0.000000,events/second
1578158578,3,0.008197,0.000000,0.000000,0.000000,events/second
1578158581,3,0.008130,0.000000,0.000000,0.000000,events/second
1578158584,3,0.008064,0.000000,0.000000,0.000000,events/second
1578158587,3,0.008000,0.000000,0.000000,0.000000,events/second
1578158590,3,0.007936,0.000000,0.000000,0.000000,events/second
1578158593,3,0.007874,0.000000,0.000000,0.000000,events/second
1578158596,3,0.007812,0.000000,0.000000,0.000000,events/second
1578158599,3,0.007752,0.000000,0.000000,0.000000,events/second
1578158602,3,0.007692,0.000000,0.000000,0.000000,events/second
1578158605,3,0.007633,0.000000,0.000000,0.000000,events/second
1578158608,3,0.007576,0.000000,0.000000,0.000000,events/second
1578158611,3,0.007519,0.000000,0.000000,0.000000,events/second
1578158614,3,0.007463,0.000000,0.000000,0.000000,events/second
1578158617,3,0.007407,0.000000,0.000000,0.000000,events/second
1578158620,3,0.007353,0.000000,0.000000,0.000000,events/second
1578158623,3,0.007299,0.000000,0.000000,0.000000,events/second
1578158626,3,0.007246,0.000000,0.000000,0.000000,events/second
1578158629,3,0.007194,0.000000,0.000000,0.000000,events/second
1578158632,3,0.007143,0.000000,0.000000,0.000000,events/second
1578158635,3,0.007092,0.000000,0.000000,0.000000,events/second
1578158638,3,0.007042,0.000000,0.000000,0.000000,events/second
1578158641,3,0.006993,0.000000,0.000000,0.000000,events/second
1578158644,3,0.006944,0.000000,0.000000,0.000000,events/second
1578158647,3,0.006896,0.000000,0.000000,0.000000,events/second
1578158650,3,0.006849,0.000000,0.000000,0.000000,events/second
1578158653,3,0.006803,0.000000,0.000000,0.000000,events/second
1578158656,3,0.006757,0.000000,0.000000,0.000000,events/second
1578158659,3,0.006711,0.000000,0.000000,0.000000,events/second
1578158662,3,0.006667,0.000000,0.000000,0.000000,events/second
1578158665,3,0.006622,0.000000,0.000000,0.000000,events/second
1578158668,3,0.006579,0.000000,0.000000,0.000000,events/second
1578158671,3,0.006536,0.000000,0.000000,0.000000,events/second
1578158674,3,0.006493,0.000000,0.000000,0.000000,events/second
1578158677,3,0.006452,0.000000,0.000000,0.000000,events/second
1578158680,3,0.006410,0.000000,0.000000,0.000000,events/second
1578158683,3,0.006369,0.000000,0.000000,0.000000,events/second
1578158686,3,0.006329,0.000000,0.000000,0.000000,events/second
1578158689,3,0.006289,0.000000,0.000000,0.000000,events/second
1578158692,3,0.006250,0.000000,0.000000,0.000000,events/second
1578158695,3,0.006211,0.000000,0.000000,0.000000,events/second
1578158698,3,0.006173,0.000000,0.000000,0.000000,events/second
1578158701,3,0.006135,0.000000,0.000000,0.000000,events/second
1578158704,3,0.006097,0.000000,0.000000,0.000000,events/second
1578158707,3,0.006061,0.000000,0.000000,0.000000,events/second
1578158710,3,0.006024,0.000000,0.000000,0.000000,events/second
1578158713,3,0.005988,0.000000,0.000000,0.000000,events/second
1578158716,3,0.005952,0.000000,0.000000,0.000000,events/second
1578158719,3,0.005917,0.000000,0.000000,0.000000,events/second
1578158722,3,0.005882,0.000000,0.000000,0.000000,events/second
1578158725,3,0.005848,0.000000,0.000000,0.000000,events/second
1578158728,3,0.005814,0.000000,0.000000,0.000000,events/second
1578158731,3,0.005780,0.000000,0.000000,0.000000,events/second
1578158734,3,0.005747,0.000000,0.000000,0.000000,events/second
1578158737,3,0.005714,0.000000,0.000000,0.000000,events/second
1578158740,3,0.005682,0.000000,0.000000,0.000000,events/second
1578158743,3,0.005650,0.000000,0.000000,0.000000,events/second
1578158746,3,0.005618,0.000000,0.000000,0.000000,events/second
1578158749,3,0.005587,0.000000,0.000000,0.000000,events/second
1578158752,3,0.005555,0.000000,0.000000,0.000000,events/second
1578158755,3,0.005525,0.000000,0.000000,0.000000,events/second
1578158758,3,0.005494,0.000000,0.000000,0.000000,events/second
1578158761,3,0.005464,0.000000,0.000000,0.000000,events/second
1578158764,3,0.005435,0.000000,0.000000,0.000000,events/second
1578158767,3,0.005405,0.000000,0.000000,0.000000,events/second
1578158770,3,0.005376,0.000000,0.000000,0.000000,events/second
1578158773,3,0.005347,0.000000,0.000000,0.000000,events/second
1578158776,3,0.005319,0.000000,0.000000,0.000000,events/second
1578158779,3,0.005291,0.000000,0.000000,0.000000,events/second
1578158782,3,0.005263,0.000000,0.000000,0.000000,events/second
1578158785,3,0.005236,0.000000,0.000000,0.000000,events/second
1578158788,3,0.005208,0.000000,0.000000,0.000000,events/second
1578158791,3,0.005181,0.000000,0.000000,0.000000,events/second
1578158794,3,0.005155,0.000000,0.000000,0.000000,events/second
1578158797,3,0.005128,0.000000,0.000000,0.000000,events/second
1578158800,3,0.005102,0.000000,0.000000,0.000000,events/second
1578158803,3,0.005076,0.000000,0.000000,0.000000,events/second
1578158806,3,0.005050,0.000000,0.000000,0.000000,events/second
1578158809,3,0.005025,0.000000,0.000000,0.000000,events/second
1578158812,3,0.005000,0.000000,0.000000,0.000000,events/second
1578158815,3,0.004975,0.000000,0.000000,0.000000,events/second
1578158818,3,0.004950,0.000000,0.000000,0.000000,events/second
1578158821,3,0.004926,0.000000,0.000000,0.000000,events/second
1578158824,3,0.004902,0.000000,0.000000,0.000000,events/second
1578158827,3,0.004878,0.000000,0.000000,0.000000,events/second
