t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158218,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158221,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158224,1,0.083249,0.000000,0.000000,0.000000,events/second
1578158227,1,0.066620,0.000000,0.000000,0.000000,events/second
1578158230,1,0.055525,0.000000,0.000000,0.000000,events/second
1578158233,1,0.047597,0.000000,0.000000,0.000000,events/second
1578158236,1,0.041641,0.000000,0.000000,0.000000,events/second
1578158239,1,0.037021,0.000000,0.000000,0.000000,events/second
1578158242,2,0.066649,0.000000,0.000000,0.000000,events/second
1578158245,3,0.090874,0.000000,0.000000,0.000000,events/second
1578158248,4,0.111089,0.000000,0.000000,0.000000,events/second
1578158251,7,0.179448,0.000000,0.000000,0.000000,events/second
1578158254,7,0.166639,0.000000,0.000000,0.000000,events/second
1578158257,7,0.155526,0.000000,0.000000,0.000000,events/second
1578158260,9,0.187471,0.000000,0.000000,0.000000,events/second
1578158263,10,0.196049,0.000000,0.000000,0.000000,events/second
1578158266,13,0.240706,0.000000,0.000000,0.000000,events/second
1578158269,14,0.245575,0.000000,0.000000,0.000000,events/second
1578158272,15,0.249968,0.000000,0.000000,0.000000,events/second
1578158275,15,0.238068,0.000000,0.000000,0.000000,events/second
1578158278,18,0.272698,0.000000,0.000000,0.000000,events/second
1578158281,21,0.304308,0.000000,0.000000,0.000000,events/second
1578158284,23,0.319405,0.000000,0.000000,0.000000,events/second
1578158287,23,0.306626,0.000000,0.000000,0.000000,events/second
1578158290,23,0.294821,0.000000,0.000000,0.000000,events/second
1578158293,23,0.283877,0.000000,0.000000,0.000000,events/second
1578158296,23,0.273779,0.000000,0.000000,0.000000,events/second
1578158299,23,0.264340,0.000000,0.000000,0.000000,events/second
1578158302,24,0.266643,0.000000,0.000000,0.000000,events/second
1578158305,24,0.258033,0.000000,0.000000,0.000000,events/second
1578158308,24,0.249977,0.000000,0.000000,0.000000,events/second
1578158311,24,0.242402,0.000000,0.000000,0.000000,events/second
1578158314,27,0.264682,0.000000,0.000000,0.000000,events/second
1578158317,28,0.266641,0.000000,0.000000,0.000000,events/second
1578158320,31,0.287010,0.000000,0.000000,0.000000,events/second
1578158323,32,0.288255,0.000000,0.000000,0.000000,events/second
1578158326,32,0.280687,0.000000,0.000000,0.000000,events/second
1578158329,32,0.273486,0.000000,0.000000,0.000000,events/second
1578158332,32,0.266628,0.000000,0.000000,0.000000,events/second
1578158335,33,0.268275,0.000000,0.000000,0.000000,events/second
1578158338,33,0.261869,0.000000,0.000000,0.000000,events/second
1578158341,36,0.279050,0.000000,0.000000,0.000000,events/second
1578158344,40,0.303014,0.000000,0.000000,0.000000,events/second
1578158347,40,0.296277,0.000000,0.000000,0.000000,events/second
1578158350,41,0.297084,0.000000,0.000000,0.000000,events/second
1578158353,41,0.290759,0.000000,0.000000,0.000000,events/second
1578158356,41,0.284707,0.000000,0.000000,0.000000,events/second
1578158359,41,0.278894,0.000000,0.000000,0.000000,events/second
