t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,1,0.321986,0.000000,0.000000,0.000000,events/second
1578158218,3,0.498090,0.000000,0.000000,0.000000,events/second
1578158221,15,1.661081,0.000000,0.000000,0.000000,events/second
1578158224,18,1.498182,0.000000,0.000000,0.000000,events/second
1578158227,18,1.198976,0.000000,0.000000,0.000000,events/second
1578158230,18,0.999336,0.000000,0.000000,0.000000,events/second
1578158233,18,0.856668,0.000000,0.000000,0.000000,events/second
1578158236,18,0.749473,0.000000,0.000000,0.000000,events/second
1578158239,18,0.666320,0.000000,0.000000,0.000000,events/second
1578158242,22,0.733086,0.000000,0.000000,0.000000,events/second
1578158245,23,0.696661,0.000000,0.000000,0.000000,events/second
1578158248,24,0.666497,0.000000,0.000000,0.000000,events/second
1578158251,30,0.769022,0.000000,0.000000,0.000000,events/second
1578158254,30,0.714134,0.000000,0.000000,0.000000,events/second
1578158257,30,0.666511,0.000000,0.000000,0.000000,events/second
1578158260,32,0.666537,0.000000,0.000000,0.000000,events/second
1578158263,36,0.705748,0.000000,0.000000,0.000000,events/second
1578158266,39,0.722091,0.000000,0.000000,0.000000,events/second
1578158269,40,0.701619,0.000000,0.000000,0.000000,events/second
1578158272,41,0.683225,0.000000,0.000000,0.000000,events/second
1578158275,41,0.650700,0.000000,0.000000,0.000000,events/second
1578158278,44,0.666575,0.000000,0.000000,0.000000,events/second
1578158281,50,0.724523,0.000000,0.000000,0.000000,events/second
1578158284,52,0.722113,0.000000,0.000000,0.000000,events/second
1578158287,52,0.693225,0.000000,0.000000,0.000000,events/second
1578158290,52,0.666534,0.000000,0.000000,0.000000,events/second
1578158293,52,0.641794,0.000000,0.000000,0.000000,events/second
1578158296,52,0.618964,0.000000,0.000000,0.000000,events/second
1578158299,52,0.597624,0.000000,0.000000,0.000000,events/second
1578158302,56,0.622153,0.000000,0.000000,0.000000,events/second
1578158305,56,0.602064,0.000000,0.000000,0.000000,events/second
1578158308,56,0.583266,0.000000,0.000000,0.000000,events/second
1578158311,56,0.565593,0.000000,0.000000,0.000000,events/second
1578158314,59,0.578368,0.000000,0.000000,0.000000,events/second
1578158317,60,0.571363,0.000000,0.000000,0.000000,events/second
1578158320,63,0.583269,0.000000,0.000000,0.000000,events/second
1578158323,67,0.603523,0.000000,0.000000,0.000000,events/second
1578158326,67,0.587679,0.000000,0.000000,0.000000,events/second
1578158329,67,0.572601,0.000000,0.000000,0.000000,events/second
1578158332,67,0.558243,0.000000,0.000000,0.000000,events/second
1578158335,68,0.552800,0.000000,0.000000,0.000000,events/second
1578158338,68,0.539600,0.000000,0.000000,0.000000,events/second
1578158341,74,0.573594,0.000000,0.000000,0.000000,events/second
1578158344,81,0.613594,0.000000,0.000000,0.000000,events/second
1578158347,81,0.599953,0.000000,0.000000,0.000000,events/second
1578158350,82,0.594160,0.000000,0.000000,0.000000,events/second
1578158353,82,0.581511,0.000000,0.000000,0.000000,events/second
1578158356,82,0.569405,0.000000,0.000000,0.000000,events/second
1578158359,82,0.557779,0.000000,0.000000,0.000000,events/second
1578158362,86,0.573300,0.000000,0.000000,0.000000,events/second
1578158365,86,0.562043,0.000000,0.000000,0.000000,events/second
1578158368,86,0.551248,0.000000,0.000000,0.000000,events/second
1578158371,86,0.540824,0.000000,0.000000,0.000000,events/second
1578158374,86,0.530833,0.000000,0.000000,0.000000,events/second
1578158377,86,0.521175,0.000000,0.000000,0.000000,events/second
1578158380,87,0.517833,0.000000,0.000000,0.000000,events/second
1578158383,98,0.573046,0.000000,0.000000,0.000000,events/second
1578158386,100,0.574680,0.000000,0.000000,0.000000,events/second
1578158389,100,0.564938,0.000000,0.000000,0.000000,events/second
1578158392,104,0.577745,0.000000,0.000000,0.000000,events/second
1578158395,110,0.601057,0.000000,0.000000,0.000000,events/second
1578158398,110,0.591354,0.000000,0.000000,0.000000,events/second
1578158401,115,0.608432,0.000000,0.000000,0.000000,events/second
1578158404,118,0.614551,0.000000,0.000000,0.000000,events/second
