t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,6,1.933310,0.000000,0.000000,0.000000,events/second
1578158218,7,1.163678,0.000000,0.000000,0.000000,events/second
1578158221,7,0.775926,0.000000,0.000000,0.000000,events/second
1578158224,7,0.583066,0.000000,0.000000,0.000000,events/second
1578158227,7,0.466555,0.000000,0.000000,0.000000,events/second
1578158230,7,0.388842,0.000000,0.000000,0.000000,events/second
1578158233,7,0.333304,0.000000,0.000000,0.000000,events/second
1578158236,7,0.291572,0.000000,0.000000,0.000000,events/second
1578158239,7,0.259219,0.000000,0.000000,0.000000,events/second
1578158242,7,0.233330,0.000000,0.000000,0.000000,events/second
1578158245,7,0.212091,0.000000,0.000000,0.000000,events/second
1578158248,7,0.194448,0.000000,0.000000,0.000000,events/second
1578158251,7,0.179483,0.000000,0.000000,0.000000,events/second
1578158254,7,0.166671,0.000000,0.000000,0.000000,events/second
1578158257,7,0.155553,0.000000,0.000000,0.000000,events/second
1578158260,7,0.145835,0.000000,0.000000,0.000000,events/second
1578158263,7,0.137255,0.000000,0.000000,0.000000,events/second
1578158266,7,0.129629,0.000000,0.000000,0.000000,events/second
1578158269,7,0.122804,0.000000,0.000000,0.000000,events/second
1578158272,7,0.116667,0.000000,0.000000,0.000000,events/second
1578158275,7,0.111112,0.000000,0.000000,0.000000,events/second
1578158278,7,0.106062,0.000000,0.000000,0.000000,events/second
1578158281,8,0.115940,0.000000,0.000000,0.000000,events/second
1578158284,8,0.111110,0.000000,0.000000,0.000000,events/second
1578158287,8,0.106664,0.000000,0.000000,0.000000,events/second
1578158290,8,0.102557,0.000000,0.000000,0.000000,events/second
1578158293,8,0.098750,0.000000,0.000000,0.000000,events/second
1578158296,8,0.095236,0.000000,0.000000,0.000000,events/second
1578158299,8,0.091952,0.000000,0.000000,0.000000,events/second
1578158302,8,0.088889,0.000000,0.000000,0.000000,events/second
1578158305,8,0.086018,0.000000,0.000000,0.000000,events/second
1578158308,8,0.083332,0.000000,0.000000,0.000000,events/second
1578158311,8,0.080807,0.000000,0.000000,0.000000,events/second
1578158314,8,0.078430,0.000000,0.000000,0.000000,events/second
1578158317,8,0.076189,0.000000,0.000000,0.000000,events/second
1578158320,8,0.074073,0.000000,0.000000,0.000000,events/second
1578158323,8,0.072069,0.000000,0.000000,0.000000,events/second
1578158326,8,0.070177,0.000000,0.000000,0.000000,events/second
1578158329,8,0.068376,0.000000,0.000000,0.000000,events/second
1578158332,8,0.066661,0.000000,0.000000,0.000000,events/second
1578158335,8,0.065040,0.000000,0.000000,0.000000,events/second
1578158338,8,0.063487,0.000000,0.000000,0.000000,events/second
1578158341,8,0.062015,0.000000,0.000000,0.000000,events/second
1578158344,8,0.060606,0.000000,0.000000,0.000000,events/second
1578158347,8,0.059259,0.000000,0.000000,0.000000,events/second
1578158350,8,0.057971,0.000000,0.000000,0.000000,events/second
