t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,55,17.708164,0.000000,0.000000,0.000000,events/second
1578158218,71,11.801137,0.000000,0.000000,0.000000,events/second
1578158221,71,7.869394,0.000000,0.000000,0.000000,events/second
1578158224,71,5.913578,0.000000,0.000000,0.000000,events/second
1578158227,71,4.732015,0.000000,0.000000,0.000000,events/second
1578158230,71,3.943871,0.000000,0.000000,0.000000,events/second
1578158233,71,3.380578,0.000000,0.000000,0.000000,events/second
1578158236,71,2.957288,0.000000,0.000000,0.000000,events/second
1578158239,71,2.629184,0.000000,0.000000,0.000000,events/second
1578158242,71,2.366582,0.000000,0.000000,0.000000,events/second
1578158245,71,2.151179,0.000000,0.000000,0.000000,events/second
1578158248,71,1.972239,0.000000,0.000000,0.000000,events/second
1578158251,71,1.820438,0.000000,0.000000,0.000000,events/second
1578158254,71,1.690496,0.000000,0.000000,0.000000,events/second
1578158257,71,1.577742,0.000000,0.000000,0.000000,events/second
1578158260,71,1.479173,0.000000,0.000000,0.000000,events/second
1578158263,71,1.392149,0.000000,0.000000,0.000000,events/second
1578158266,71,1.314790,0.000000,0.000000,0.000000,events/second
1578158269,71,1.245578,0.000000,0.000000,0.000000,events/second
1578158272,71,1.183331,0.000000,0.000000,0.000000,events/second
1578158275,71,1.126983,0.000000,0.000000,0.000000,events/second
1578158278,71,1.075765,0.000000,0.000000,0.000000,events/second
1578158281,94,1.362291,0.000000,0.000000,0.000000,events/second
1578158284,94,1.305530,0.000000,0.000000,0.000000,events/second
1578158287,94,1.253296,0.000000,0.000000,0.000000,events/second
1578158290,94,1.205033,0.000000,0.000000,0.000000,events/second
1578158293,94,1.160301,0.000000,0.000000,0.000000,events/second
1578158296,94,1.119023,0.000000,0.000000,0.000000,events/second
1578158299,94,1.080435,0.000000,0.000000,0.000000,events/second
1578158302,94,1.044438,0.000000,0.000000,0.000000,events/second
1578158305,94,1.010708,0.000000,0.000000,0.000000,events/second
1578158308,94,0.979145,0.000000,0.000000,0.000000,events/second
1578158311,94,0.949472,0.000000,0.000000,0.000000,events/second
1578158314,94,0.921553,0.000000,0.000000,0.000000,events/second
1578158317,94,0.895216,0.000000,0.000000,0.000000,events/second
1578158320,94,0.870350,0.000000,0.000000,0.000000,events/second
1578158323,94,0.846805,0.000000,0.000000,0.000000,events/second
1578158326,94,0.824573,0.000000,0.000000,0.000000,events/second
1578158329,94,0.803417,0.000000,0.000000,0.000000,events/second
1578158332,94,0.783265,0.000000,0.000000,0.000000,events/second
1578158335,94,0.764223,0.000000,0.000000,0.000000,events/second
1578158338,94,0.745973,0.000000,0.000000,0.000000,events/second
1578158341,94,0.728671,0.000000,0.000000,0.000000,events/second
1578158344,94,0.712122,0.000000,0.000000,0.000000,events/second
1578158347,94,0.696291,0.000000,0.000000,0.000000,events/second
1578158350,94,0.681156,0.000000,0.000000,0.000000,events/second
1578158353,94,0.666655,0.000000,0.000000,0.000000,events/second
1578158356,94,0.652772,0.000000,0.000000,0.000000,events/second
1578158359,94,0.639444,0.000000,0.000000,0.000000,events/second
1578158362,94,0.626670,0.000000,0.000000,0.000000,events/second
