t,value
1578158215,196624
1578158218,265372
1578158221,265372
1578158224,265372
1578158227,265372
1578158230,265372
1578158233,265372
1578158236,265372
1578158239,265372
1578158242,265372
1578158245,265372
1578158248,265372
1578158251,265372
1578158254,265372
1578158257,265372
1578158260,265372
1578158263,265372
1578158266,265372
1578158269,265372
1578158272,265372
1578158275,265372
1578158278,265372
1578158281,247964
1578158284,247964
1578158287,247964
1578158290,247964
1578158293,247964
1578158296,247964
1578158299,247964
1578158302,247964
1578158305,247964
1578158308,247964
1578158311,247964
1578158314,247964
1578158317,247964
1578158320,247964
1578158323,247964
1578158326,247964
1578158329,247964
1578158332,247964
1578158335,247964
1578158338,247964
1578158341,247964
1578158344,247964
1578158347,247964
1578158350,247964
1578158353,247964
1578158356,247964
1578158359,247964
1578158362,247964
1578158365,247964
1578158368,247964
1578158371,247964
1578158374,247964
1578158377,247964
1578158380,247964
1578158383,247964
1578158386,247964
1578158389,247964
1578158392,247964
1578158395,247964
1578158398,247964
1578158401,247964
1578158404,247964
1578158407,247964
1578158410,247964
1578158413,247964
1578158416,247964
1578158419,247964
1578158422,247964
1578158425,247964
1578158428,247964
1578158431,247964
1578158434,247964
1578158437,247964
1578158440,247964
1578158443,247964
1578158446,247964
1578158449,247964
1578158452,247964
1578158455,247964
1578158458,247964
1578158461,247964
1578158464,247964
1578158467,247964
1578158470,247964
1578158473,247964
1578158476,247964
1578158479,247964
1578158482,247964
1578158485,247964
1578158488,247964
1578158491,247964
1578158494,247964
1578158497,247964
1578158500,247964
1578158503,247964
1578158506,247964
1578158509,247964
1578158512,247964
1578158515,247964
1578158518,247964
1578158521,247964
1578158524,247964
1578158527,247964
1578158530,247964
1578158533,247964
1578158536,247964
1578158539,247964
1578158542,247964
1578158545,247964
1578158548,247964
1578158551,247964
1578158554,247964
1578158557,247964
1578158560,247964
1578158563,247964
1578158566,247964
1578158569,247964
1578158572,247964
1578158575,247964
1578158578,247964
1578158581,247964
1578158584,247964
1578158587,247964
1578158590,247964
1578158593,247964
1578158596,247964
1578158599,247964
1578158602,247964
1578158605,247964
1578158608,247964
1578158611,247964
1578158614,247964
1578158617,247964
1578158620,247964
1578158623,247964
1578158626,247964
1578158629,247964
1578158632,247964
1578158635,247964
1578158638,247964
1578158641,247964
1578158644,247964
1578158647,247964
1578158650,247964
1578158653,247964
1578158656,247964
1578158659,247964
1578158662,247964
1578158665,247964
1578158668,247964
1578158671,247964
1578158674,247964
1578158677,247964
1578158680,247964
1578158683,247964
1578158686,247964
1578158689,247964
1578158692,247964
1578158695,247964
1578158698,247964
1578158701,247964
1578158704,247964
1578158707,247964
1578158710,247964
1578158713,247964
1578158716,247964
1578158719,247964
1578158722,247964
1578158725,247964
1578158728,247964
1578158731,247964
1578158734,247964
1578158737,247964
1578158740,247964
1578158743,247964
1578158746,247964
1578158749,247964
1578158752,247964
1578158755,247964
1578158758,247964
1578158761,247964
1578158764,247964
1578158767,247964
1578158770,247964
1578158773,247964
1578158776,247964
1578158779,247964
1578158782,247964
1578158785,247964
1578158788,247964
1578158791,247964
1578158794,247964
1578158797,247964
1578158800,247964
1578158803,247964
1578158806,247964
1578158809,247964
1578158812,247964
1578158815,247964
1578158818,247964
1578158821,247964
1578158824,247964
1578158827,247964
1578158830,247964
1578158833,247964
1578158836,247964
1578158839,247964
1578158842,247964
1578158845,247964
1578158848,247964
1578158851,247964
1578158854,247964
1578158857,247964
1578158860,247964
1578158863,247964
1578158866,247964
1578158869,247964
1578158872,247964
1578158875,247964
1578158878,247964
1578158881,247964
1578158884,247964
1578158887,247964
1578158890,247964
1578158893,247964
1578158896,247964
1578158899,247964
1578158902,247964
1578158905,247964
1578158908,247964
1578158911,247964
1578158914,247964
1578158917,247964
1578158920,247964
1578158923,247964
1578158926,247964
1578158929,247964
1578158932,222224
1578158935,222224
1578158938,222224
1578158941,222224
1578158944,222224
1578158947,222224
1578158950,222224
1578158953,222224
1578158956,222224
1578158959,222224
1578158962,222224
1578158965,222224
1578158968,222224
1578158971,222224
1578158974,222224
1578158977,222224
1578158980,222224
1578158983,222224
1578158986,222224
1578158989,222224
1578158992,222224
1578158995,222224
1578158998,222224
1578159001,222224
1578159004,222224
1578159007,222224
1578159010,222224
1578159013,222224
1578159016,222224
1578159019,222224
1578159022,222224
1578159025,222224
1578159028,222224
1578159031,222224
1578159034,222224
1578159037,222224
1578159040,222224
1578159043,222224
1578159046,222224
1578159049,222224
1578159052,222224
1578159055,222224
1578159058,222224
1578159061,222224
1578159064,222224
1578159067,222224
1578159070,222224
1578159073,222224
1578159076,222224
1578159079,222224
1578159082,222224
1578159085,222224
1578159088,222224
1578159091,222224
1578159094,222224
1578159097,222224
1578159100,222224
1578159103,222224
1578159106,222224
1578159109,222224
1578159112,222224
1578159115,222224
1578159118,222224
1578159121,222224
1578159124,222224
1578159127,222224
1578159130,222224
1578159133,222224
1578159136,222224
1578159139,222224
1578159142,222224
1578159145,222224
1578159148,222224
1578159151,222224
1578159154,222224
1578159157,222224
1578159160,222224
1578159163,222224
1578159166,222224
1578159169,222224
1578159172,222224
1578159175,222224
1578159178,222224
1578159181,222224
1578159184,222224
1578159187,222224
1578159190,222224
1578159193,222224
1578159196,222224
1578159199,222224
1578159202,222224
1578159205,222224
1578159208,274358
1578159211,274358
1578159214,274358
1578159217,274358
1578159220,274358
1578159223,274358
1578159226,274358
1578159229,274358
1578159232,274358
1578159235,274358
1578159238,274358
1578159241,274358
1578159244,274358
1578159247,274358
1578159250,274358
1578159253,274358
1578159256,274358
1578159259,274358
1578159262,274358
1578159265,274358
1578159268,274358
1578159271,274358
1578159274,274358
1578159277,274358
1578159280,274358
1578159283,274358
1578159286,274358
1578159289,274358
1578159292,274358
1578159295,274358
1578159298,274358
1578159301,274358
1578159304,274358
1578159307,274358
1578159310,274358
1578159313,274358
1578159316,274358
1578159319,274358
1578159322,274358
1578159325,274358
1578159328,274358
1578159331,274358
1578159334,274358
1578159337,274358
1578159340,274358
1578159343,274358
1578159346,274358
1578159349,274358
1578159352,274358
1578159355,274358
1578159358,274358
1578159361,274358
1578159364,274358
1578159367,274358
1578159370,274358
1578159373,274358
1578159376,274358
1578159379,274358
1578159382,274358
1578159385,274358
1578159388,274358
1578159391,274358
1578159394,274358
1578159397,274358
1578159400,274358
1578159403,274358
1578159406,274358
1578159409,310234
1578159412,310234
1578159415,310234
1578159418,310234
1578159421,310234
1578159424,310234
1578159427,310234
1578159430,310234
1578159433,310234
1578159436,317827
1578159439,317827
1578159442,538238
1578159445,629730
1578159448,629730
1578159451,629730
1578159454,629730
1578159457,629730
1578159460,629730
1578159463,629730
1578159466,629730
1578159469,629730
1578159472,629730
1578159475,629730
1578159478,629730
1578159481,629730
1578159484,629730
1578159487,629730
1578159490,629730
1578159493,629730
1578159496,629730
1578159499,629730
1578159502,629730
1578159505,629730
1578159508,629730
1578159511,629730
1578159514,629730
1578159517,629730
1578159520,629730
1578159523,629730
1578159526,629730
1578159529,629730
1578159532,629730
1578159535,629730
1578159538,629730
1578159541,629730
1578159544,629730
1578159547,629730
1578159550,629730
1578159553,629730
1578159556,629730
1578159559,629730
1578159562,629730
1578159565,629730
1578159568,629730
1578159571,629730
1578159574,629730
1578159577,629730
1578159580,629730
1578159583,629730
1578159586,629730
1578159589,629730
1578159592,629730
1578159595,629730
1578159598,629730
1578159601,629730
1578159604,629730
1578159607,629730
1578159610,629730
1578159613,629730
1578159616,629730
1578159619,629730
1578159622,629730
1578159625,629730
1578159628,629730
1578159631,629730
1578159634,629730
1578159637,629730
1578159640,629730
1578159643,629730
1578159646,629730
1578159649,629730
1578159652,629730
1578159655,629730
1578159658,629730
1578159661,629730
1578159664,629730
1578159667,629730
1578159670,629730
1578159673,629730
1578159676,629730
1578159679,629730
1578159682,629730
1578159685,629730
1578159688,629730
1578159691,629730
1578159694,629730
1578159697,629730
1578159700,629730
1578159703,629730
1578159706,629730
1578159709,629730
1578159712,629730
1578159715,629730
1578159718,629730
1578159721,629730
1578159724,629730
1578159727,629730
1578159730,629730
1578159733,629730
1578159736,629730
1578159739,629730
1578159742,629730
1578159745,629730
1578159748,629730
1578159751,629730
1578159754,629730
1578159757,629730
1578159760,629730
1578159763,629730
1578159766,629730
1578159769,629730
1578159772,629730
1578159775,629730
1578159778,629730
1578159781,629730
1578159784,629748
1578159787,629748
1578159790,629748
1578159793,629748
1578159796,629748
1578159799,629748
1578159802,629748
1578159805,629748
1578159808,629748
1578159811,629748
1578159814,629748
1578159817,629748
1578159820,629748
1578159823,629748
1578159826,629748
1578159829,629748
1578159832,629748
1578159835,629748
1578159838,629748
1578159841,629748
1578159844,629748
1578159847,629748
1578159850,629748
1578159853,629748
1578159856,629748
1578159859,629748
1578159862,629748
1578159865,629748
1578159868,629748
1578159871,629748
1578159874,629748
1578159877,629748
1578159880,629748
1578159883,629748
1578159886,629748
1578159889,629748
1578159892,629748
1578159895,629748
1578159898,629748
1578159901,629748
1578159904,629748
1578159907,629748
1578159910,629748
1578159913,629748
1578159916,629748
1578159919,629748
1578159922,629748
1578159925,629748
1578159928,629748
1578159931,629748
1578159934,629748
1578159937,629748
1578159940,629748
1578159943,629748
1578159946,629748
1578159949,629748
1578159952,629748
1578159955,629748
1578159958,629748
1578159961,629748
1578159964,629748
1578159967,629748
1578159970,629748
1578159973,629748
1578159976,629748
1578159979,629748
1578159982,629748
1578159985,629748
1578159988,629748
1578159991,629748
1578159994,629748
1578159997,629748
1578160000,629748
1578160003,629748
1578160006,629748
1578160009,629748
1578160012,629748
1578160015,629748
1578160018,629748
1578160021,629748
1578160024,629748
1578160027,629748
1578160030,629748
1578160033,629748
1578160036,629748
1578160039,629748
1578160042,629748
1578160045,629748
1578160048,629748
1578160051,629748
1578160054,629748
1578160057,629748
1578160060,629748
1578160063,629748
1578160066,629748
1578160069,629748
1578160072,629748
1578160075,629748
1578160078,629748
1578160081,629748
1578160084,629748
1578160087,629748
1578160090,629748
1578160093,629748
1578160096,629748
1578160099,629748
1578160102,629748
1578160105,629748
1578160108,629748
1578160111,629748
1578160114,629748
1578160117,629748
1578160120,629748
1578160123,629748
1578160126,629748
1578160129,629748
1578160132,629748
1578160135,629748
1578160138,629748
1578160141,629748
1578160144,629748
1578160147,629748
1578160150,629748
1578160153,629748
1578160156,629748
1578160159,629748
1578160162,629748
1578160165,629748
1578160168,629748
1578160171,629748
1578160174,629748
1578160177,629748
1578160180,629748
1578160183,629748
1578160186,629748
1578160189,629748
1578160192,629748
1578160195,629748
1578160198,629748
1578160201,629748
1578160204,629748
1578160207,629748
1578160210,629748
1578160213,629748
1578160216,629748
1578160219,629748
1578160222,629748
1578160225,629748
1578160228,629748
1578160231,629748
1578160234,629748
1578160237,629748
1578160240,629748
1578160243,629748
1578160246,629748
1578160249,629748
1578160252,629748
1578160255,629748
1578160258,629748
1578160261,629748
1578160264,629748
1578160267,629748
1578160270,629748
1578160273,629748
1578160276,629748
1578160279,629748
1578160282,629748
1578160285,629748
1578160288,629748
1578160291,629748
1578160294,629748
1578160297,629748
1578160300,629748
1578160303,629748
1578160306,629748
1578160309,629748
1578160312,629748
1578160315,629748
1578160318,629748
1578160321,629748
1578160324,629748
1578160327,629748
1578160330,629748
1578160333,629748
1578160336,629748
1578160339,629748
1578160342,629748
1578160345,629748
1578160348,629748
1578160351,629748
1578160354,629748
1578160357,629748
1578160360,629748
1578160363,629748
1578160366,629748
1578160369,629748
1578160372,629748
1578160375,629748
1578160378,629748
1578160381,629748
1578160384,629748
1578160387,629748
1578160390,629748
1578160393,629748
1578160396,629748
1578160399,629748
1578160402,629748
1578160405,629748
1578160408,629748
1578160411,629748
1578160414,629748
1578160417,629748
1578160420,629748
1578160423,629748
1578160426,629748
1578160429,629748
1578160432,629748
1578160435,629748
1578160438,629748
1578160441,629748
1578160444,629748
1578160447,629748
1578160450,629748
1578160453,629748
1578160456,629748
1578160459,629748
1578160462,629748
1578160465,629748
1578160468,629748
1578160471,629748
1578160474,629748
1578160477,629748
1578160480,629748
1578160483,629748
1578160486,629748
1578160489,629748
1578160492,629748
1578160495,629748
1578160498,629748
1578160501,629748
1578160504,629748
1578160507,629748
1578160510,629748
1578160513,629748
1578160516,629748
1578160519,629748
1578160522,629748
1578160525,629748
1578160528,629748
1578160531,629748
1578160534,629748
1578160537,629748
1578160540,629748
1578160543,629748
1578160546,629748
1578160549,629748
1578160552,629748
1578160555,629748
1578160558,629748
1578160561,629748
1578160564,629748
1578160567,629748
