t,value
1578158215,5
1578158218,11
1578158221,11
1578158224,11
1578158227,11
1578158230,11
1578158233,11
1578158236,11
1578158239,11
1578158242,11
1578158245,11
1578158248,11
1578158251,11
1578158254,11
1578158257,11
1578158260,11
1578158263,11
1578158266,11
1578158269,11
1578158272,11
1578158275,11
1578158278,11
1578158281,10
1578158284,10
1578158287,10
1578158290,10
1578158293,10
1578158296,10
1578158299,10
1578158302,10
1578158305,10
1578158308,10
1578158311,10
1578158314,10
1578158317,10
1578158320,10
1578158323,10
1578158326,10
1578158329,10
1578158332,10
1578158335,10
1578158338,10
1578158341,10
1578158344,10
1578158347,10
1578158350,10
1578158353,10
1578158356,10
1578158359,10
1578158362,10
1578158365,10
1578158368,10
1578158371,10
1578158374,10
1578158377,10
1578158380,10
1578158383,10
1578158386,10
1578158389,10
1578158392,10
1578158395,10
1578158398,10
1578158401,10
1578158404,10
1578158407,10
1578158410,10
1578158413,10
1578158416,10
1578158419,10
1578158422,10
1578158425,10
1578158428,10
1578158431,10
1578158434,10
1578158437,10
1578158440,10
1578158443,10
1578158446,10
1578158449,10
1578158452,10
1578158455,10
1578158458,10
1578158461,10
1578158464,10
1578158467,10
1578158470,10
1578158473,10
1578158476,10
1578158479,10
1578158482,10
1578158485,10
1578158488,10
1578158491,10
1578158494,10
1578158497,10
1578158500,10
1578158503,10
1578158506,10
1578158509,10
1578158512,10
1578158515,10
1578158518,10
1578158521,10
1578158524,10
1578158527,10
1578158530,10
1578158533,10
1578158536,10
1578158539,10
1578158542,10
1578158545,10
1578158548,10
1578158551,10
1578158554,10
1578158557,10
1578158560,10
1578158563,10
1578158566,10
1578158569,10
1578158572,10
1578158575,10
1578158578,10
1578158581,10
1578158584,10
1578158587,10
1578158590,10
1578158593,10
1578158596,10
1578158599,10
1578158602,10
1578158605,10
1578158608,10
1578158611,10
1578158614,10
1578158617,10
1578158620,10
1578158623,10
1578158626,10
1578158629,10
1578158632,10
1578158635,10
1578158638,10
1578158641,10
1578158644,10
1578158647,10
1578158650,10
1578158653,10
1578158656,10
1578158659,10
1578158662,10
1578158665,10
1578158668,10
1578158671,10
1578158674,10
