t,value
1578158215,196625
1578158218,265373
1578158221,265373
1578158224,265373
1578158227,265373
1578158230,265373
1578158233,265373
1578158236,265373
1578158239,265373
1578158242,265373
1578158245,265373
1578158248,265373
1578158251,265373
1578158254,265373
1578158257,265373
1578158260,265373
1578158263,265373
1578158266,265373
1578158269,265373
1578158272,265373
1578158275,265373
1578158278,265373
1578158281,247965
1578158284,247965
1578158287,247965
1578158290,247965
1578158293,247965
1578158296,247965
1578158299,247965
1578158302,247965
1578158305,247965
1578158308,247965
1578158311,247965
1578158314,247965
1578158317,247965
1578158320,247965
1578158323,247965
1578158326,247965
1578158329,247965
1578158332,247965
1578158335,247965
1578158338,247965
1578158341,247965
1578158344,247965
1578158347,247965
1578158350,247965
1578158353,247965
1578158356,247965
1578158359,247965
1578158362,247965
1578158365,247965
1578158368,247965
1578158371,247965
1578158374,247965
1578158377,247965
1578158380,247965
1578158383,247965
1578158386,247965
1578158389,247965
1578158392,247965
1578158395,247965
1578158398,247965
1578158401,247965
1578158404,247965
1578158407,247965
1578158410,247965
1578158413,247965
1578158416,247965
1578158419,247965
1578158422,247965
1578158425,247965
1578158428,247965
1578158431,247965
1578158434,247965
1578158437,247965
1578158440,247965
1578158443,247965
1578158446,247965
1578158449,247965
1578158452,247965
1578158455,247965
1578158458,247965
1578158461,247965
1578158464,247965
1578158467,247965
1578158470,247965
1578158473,247965
1578158476,247965
1578158479,247965
1578158482,247965
1578158485,247965
1578158488,247965
1578158491,247965
1578158494,247965
1578158497,247965
1578158500,247965
1578158503,247965
1578158506,247965
1578158509,247965
1578158512,247965
1578158515,247965
1578158518,247965
1578158521,247965
1578158524,247965
1578158527,247965
1578158530,247965
1578158533,247965
1578158536,247965
1578158539,247965
1578158542,247965
1578158545,247965
1578158548,247965
1578158551,247965
1578158554,247965
1578158557,247965
1578158560,247965
1578158563,247965
1578158566,247965
1578158569,247965
1578158572,247965
1578158575,247965
1578158578,247965
1578158581,247965
1578158584,247965
1578158587,247965
1578158590,247965
1578158593,247965
1578158596,247965
1578158599,247965
1578158602,247965
1578158605,247965
1578158608,247965
1578158611,247965
1578158614,247965
1578158617,247965
1578158620,247965
1578158623,247965
1578158626,247965
1578158629,247965
1578158632,247965
1578158635,247965
1578158638,247965
1578158641,247965
1578158644,247965
1578158647,247965
1578158650,247965
1578158653,247965
1578158656,247965
1578158659,247965
1578158662,247965
1578158665,247965
1578158668,247965
1578158671,247965
1578158674,247965
1578158677,247965
1578158680,247965
1578158683,247965
1578158686,247965
1578158689,247965
1578158692,247965
1578158695,247965
1578158698,247965
1578158701,247965
1578158704,247965
1578158707,247965
1578158710,247965
1578158713,247965
1578158716,247965
1578158719,247965
1578158722,247965
1578158725,247965
1578158728,247965
1578158731,247965
1578158734,247965
1578158737,247965
1578158740,247965
1578158743,247965
1578158746,247965
1578158749,247965
1578158752,247965
1578158755,247965
1578158758,247965
1578158761,247965
1578158764,247965
1578158767,247965
