t,value
1578158215,12248384
1578158218,13279616
1578158221,15872320
1578158224,18210112
1578158227,17986240
1578158230,18071104
1578158233,18118528
1578158236,18144576
1578158239,18230784
1578158242,18834240
1578158245,18908480
1578158248,18921024
1578158251,19345280
1578158254,19366144
1578158257,19385472
1578158260,19454592
1578158263,19675968
1578158266,19748160
1578158269,19769152
1578158272,19825984
1578158275,19837760
1578158278,19929024
1578158281,19877056
1578158284,19928960
1578158287,19939584
1578158290,19956672
1578158293,19973632
1578158296,19975232
1578158299,19975232
1578158302,20143360
1578158305,20156416
1578158308,20157056
1578158311,20181696
1578158314,20262976
1578158317,20277504
1578158320,20179840
1578158323,20360128
1578158326,20360896
1578158329,20360896
1578158332,20362624
1578158335,20408384
1578158338,20413312
1578158341,20513472
1578158344,20712768
1578158347,20728384
1578158350,20761344
1578158353,20761984
1578158356,20763712
1578158359,20763712
1578158362,20769792
1578158365,20780608
1578158368,20781440
1578158371,20787008
1578158374,20792064
1578158377,20792064
1578158380,20813056
1578158383,21149504
1578158386,21169600
1578158389,21176384
1578158392,21294272
1578158395,21507968
1578158398,21507968
1578158401,21489088
1578158404,21533120
1578158407,21563200
1578158410,21599680
1578158413,21688576
1578158416,21753536
1578158419,21804928
1578158422,21913472
1578158425,21963072
1578158428,21998336
1578158431,22062592
1578158434,22191296
1578158437,22192000
1578158440,22203840
1578158443,22265408
1578158446,22261248
1578158449,22270400
1578158452,22286720
1578158455,22316096
1578158458,22316096
1578158461,22420736
1578158464,22422912
1578158467,22429952
1578158470,22435392
1578158473,22591424
1578158476,22615936
1578158479,22615936
1578158482,22617728
1578158485,22617728
1578158488,22623296
1578158491,22623296
1578158494,22623296
1578158497,22623296
1578158500,22623936
1578158503,22649728
1578158506,22649728
1578158509,22649728
1578158512,22657856
1578158515,22657856
1578158518,22657856
1578158521,22794560
1578158524,22795136
1578158527,22811648
1578158530,22811648
1578158533,22811648
1578158536,22811648
1578158539,22811648
1578158542,22705920
1578158545,22705920
1578158548,22712320
1578158551,22712320
1578158554,22712320
1578158557,22712320
1578158560,22713088
1578158563,22786880
1578158566,22786880
1578158569,22786880
1578158572,22794944
1578158575,22795712
1578158578,22795712
1578158581,22832896
1578158584,22834432
1578158587,22834432
1578158590,22834432
1578158593,22836416
1578158596,22849728
1578158599,22933632
1578158602,22834880
1578158605,22834880
1578158608,22834880
1578158611,22839296
1578158614,22839296
1578158617,22839296
1578158620,22839296
1578158623,22884800
1578158626,22884800
1578158629,22886720
1578158632,22908096
1578158635,22913280
1578158638,22913280
1578158641,22946112
1578158644,22946816
1578158647,22946816
1578158650,22946816
1578158653,22946816
1578158656,22946816
1578158659,22946112
1578158662,22906944
1578158665,22906944
1578158668,22906944
1578158671,22906944
1578158674,22906944
1578158677,22906944
1578158680,22906944
1578158683,22943104
1578158686,22945664
1578158689,22945664
1578158692,22959232
1578158695,22963456
1578158698,22963456
1578158701,22983104
1578158704,23008704
1578158707,23018176
1578158710,23018176
1578158713,23018176
1578158716,23015360
1578158719,23015360
1578158722,23010880
1578158725,23010880
1578158728,22999104
1578158731,23020416
1578158734,23020416
1578158737,23023296
1578158740,23023296
1578158743,23041216
1578158746,23041216
1578158749,23042560
1578158752,23043392
1578158755,23045888
1578158758,23045888
1578158761,23071552
1578158764,23114176
1578158767,23111680
1578158770,23111680
1578158773,23112512
1578158776,23112512
1578158779,23112512
1578158782,23122944
1578158785,23129664
1578158788,23130688
1578158791,23162176
1578158794,23167488
1578158797,23167488
1578158800,23167488
1578158803,23224128
1578158806,23225024
1578158809,23225024
1578158812,23257216
1578158815,23275328
1578158818,23333248
1578158821,23410112
1578158824,23410112
1578158827,23410112
1578158830,23459712
1578158833,23459712
1578158836,23469440
1578158839,23535808
1578158842,23578240
1578158845,23622976
1578158848,23622976
1578158851,23624896
1578158854,23625088
1578158857,23631680
1578158860,23632768
1578158863,23679808
1578158866,23679808
1578158869,23681984
1578158872,23692736
1578158875,23692736
1578158878,23692736
1578158881,23761792
1578158884,23761792
1578158887,23761792
1578158890,23764608
1578158893,23764608
1578158896,23764608
1578158899,23764608
1578158902,23854080
1578158905,23855040
1578158908,23855040
1578158911,23855040
1578158914,23855040
1578158917,23855040
1578158920,23856064
1578158923,23845440
1578158926,23845440
1578158929,23976960
1578158932,24275776
1578158935,24275776
1578158938,24277824
1578158941,24310720
1578158944,24327808
1578158947,24327808
1578158950,24327808
1578158953,24327808
1578158956,24327808
1578158959,24327808
1578158962,24384768
1578158965,24384768
1578158968,24384768
1578158971,24384768
1578158974,24384768
1578158977,24385536
1578158980,24324224
1578158983,24443264
1578158986,24443264
1578158989,24443264
1578158992,24447488
1578158995,24447488
1578158998,24449280
1578159001,24458752
1578159004,24478208
1578159007,24471744
1578159010,24471744
1578159013,24472576
1578159016,24475392
1578159019,24475392
1578159022,24452992
1578159025,24452992
1578159028,24452992
1578159031,24452992
1578159034,24452992
1578159037,24452992
1578159040,24452992
1578159043,24457920
1578159046,24466112
1578159049,24466112
1578159052,24525248
1578159055,24525248
1578159058,24525248
1578159061,24565184
1578159064,24570176
1578159067,24583232
1578159070,24578688
1578159073,24578688
1578159076,24578688
1578159079,24578688
1578159082,24585024
1578159085,24585024
1578159088,24585024
1578159091,24588032
1578159094,24608960
1578159097,24608960
1578159100,24611264
1578159103,24667520
1578159106,24631936
1578159109,24628416
1578159112,24794240
1578159115,24795392
1578159118,24795392
1578159121,24821312
1578159124,24821312
1578159127,24821312
1578159130,24821312
1578159133,24821312
1578159136,24821312
1578159139,24821312
1578159142,24854528
1578159145,24854528
1578159148,24854528
1578159151,24854528
1578159154,24854528
1578159157,24854528
1578159160,24854528
1578159163,24946944
1578159166,24946944
1578159169,24946944
1578159172,24968192
1578159175,24968192
1578159178,24968192
1578159181,25020224
1578159184,25025664
1578159187,25025664
1578159190,25025664
1578159193,25025664
1578159196,25025664
1578159199,25024640
1578159202,25211008
1578159205,25305152
1578159208,26746432
1578159211,26775808
1578159214,26794944
1578159217,26796864
1578159220,26796864
1578159223,27408832
1578159226,27413120
1578159229,27431936
1578159232,27503744
1578159235,27507072
1578159238,27507072
1578159241,27510976
1578159244,27512448
1578159247,27512448
1578159250,27512448
1578159253,27512448
1578159256,27512448
1578159259,27512448
1578159262,27464192
1578159265,27464192
1578159268,27464192
1578159271,27464192
1578159274,27464192
1578159277,27464192
1578159280,27464192
1578159283,27421184
1578159286,27421184
1578159289,27421184
1578159292,27428608
1578159295,27429632
1578159298,27430336
1578159301,27481920
1578159304,27481920
1578159307,27481920
1578159310,27481920
1578159313,27481920
1578159316,27481920
1578159319,27481920
1578159322,27482432
1578159325,27510592
1578159328,27510592
1578159331,27510592
1578159334,27510592
1578159337,27510592
1578159340,27510592
1578159343,27484928
1578159346,27484928
1578159349,27484928
1578159352,27486080
1578159355,27486080
1578159358,27486080
1578159361,27524800
1578159364,27552064
1578159367,27569280
1578159370,27569280
1578159373,27569280
1578159376,27569280
1578159379,27569280
1578159382,27602496
