t,value
1578158215,8436672
1578158218,9732328
1578158221,10486488
1578158224,10574160
1578158227,10574160
1578158230,10574160
1578158233,10574160
1578158236,10574160
1578158239,10574160
1578158242,10576672
1578158245,10596216
1578158248,10596216
1578158251,10596216
1578158254,10596216
1578158257,10596216
1578158260,10596216
1578158263,10599432
1578158266,10599432
1578158269,10599432
1578158272,10600032
1578158275,10600032
1578158278,10600032
1578158281,10600032
1578158284,10600032
1578158287,10600032
1578158290,10600032
1578158293,10600032
1578158296,10600032
1578158299,10600032
1578158302,10600032
1578158305,10600032
1578158308,10600032
1578158311,10600032
1578158314,10600032
1578158317,10600032
1578158320,10600032
1578158323,10600032
1578158326,10600032
1578158329,10600032
1578158332,10600032
1578158335,10600032
1578158338,10600032
1578158341,10600032
1578158344,10600032
1578158347,10600032
1578158350,10600032
1578158353,10600032
1578158356,10600032
1578158359,10600032
1578158362,10600032
1578158365,10600032
1578158368,10600032
1578158371,10600032
1578158374,10600032
1578158377,10600032
1578158380,10600032
1578158383,10600032
1578158386,10600032
1578158389,10600032
1578158392,10600032
1578158395,10600032
1578158398,10600032
1578158401,10600032
1578158404,10600032
1578158407,10600032
1578158410,10600032
1578158413,10600032
1578158416,10600032
1578158419,10600032
1578158422,10602240
1578158425,10602240
1578158428,10602240
1578158431,10602240
1578158434,10603896
1578158437,10603896
1578158440,10603896
1578158443,10603896
1578158446,10603896
1578158449,10603896
1578158452,10603896
1578158455,10603896
1578158458,10603896
1578158461,10603896
1578158464,10603896
1578158467,10603896
1578158470,10603896
1578158473,10603896
1578158476,10603896
1578158479,10603896
1578158482,10603896
1578158485,10603896
1578158488,10603896
1578158491,10603896
1578158494,10603896
1578158497,10603896
1578158500,10603896
1578158503,10603896
1578158506,10603896
1578158509,10603896
1578158512,10603896
1578158515,10603896
1578158518,10603896
1578158521,10603896
1578158524,10603896
1578158527,10603896
1578158530,10603896
1578158533,10603896
1578158536,10603896
1578158539,10603896
1578158542,10603896
1578158545,10603896
1578158548,10603896
1578158551,10603896
1578158554,10603896
1578158557,10603896
1578158560,10603896
1578158563,10603896
1578158566,10603896
1578158569,10603896
1578158572,10603896
1578158575,10603896
1578158578,10603896
1578158581,10603896
1578158584,10603896
1578158587,10603896
1578158590,10603896
1578158593,10603896
1578158596,10603896
1578158599,10603896
1578158602,10603896
1578158605,10603896
1578158608,10603896
1578158611,10603896
1578158614,10603896
1578158617,10603896
1578158620,10603896
1578158623,10603896
1578158626,10603896
1578158629,10603896
1578158632,10603896
1578158635,10603896
1578158638,10603896
1578158641,10603896
1578158644,10603896
1578158647,10603896
1578158650,10603896
1578158653,10603896
1578158656,10603896
1578158659,10603896
1578158662,10603896
1578158665,10603896
1578158668,10603896
1578158671,10603896
1578158674,10603896
1578158677,10603896
1578158680,10603896
1578158683,10603896
1578158686,10603896
1578158689,10603896
1578158692,10603896
1578158695,10603896
1578158698,10603896
1578158701,10603896
1578158704,10603896
1578158707,10603896
1578158710,10603896
1578158713,10603896
1578158716,10603896
1578158719,10603896
1578158722,10603896
1578158725,10603896
1578158728,10603896
1578158731,10603896
1578158734,10603896
1578158737,10603896
1578158740,10603896
1578158743,10603896
1578158746,10603896
1578158749,10603896
1578158752,10603896
1578158755,10603896
1578158758,10603896
1578158761,10603896
1578158764,10603896
1578158767,10603896
1578158770,10603896
1578158773,10603896
1578158776,10603896
1578158779,10603896
1578158782,10603896
1578158785,10603896
1578158788,10603896
1578158791,10603896
1578158794,10603896
1578158797,10603896
1578158800,10603896
1578158803,10603896
1578158806,10603896
1578158809,10603896
1578158812,10603896
1578158815,10640064
1578158818,10642456
1578158821,10642456
1578158824,10642456
1578158827,10642456
1578158830,10642456
1578158833,10642456
1578158836,10642456
1578158839,10642456
1578158842,10642456
1578158845,10642456
1578158848,10642456
1578158851,10642456
1578158854,10642456
1578158857,10642936
1578158860,10642936
1578158863,10643464
1578158866,10643464
1578158869,10643464
1578158872,10643464
1578158875,10643464
1578158878,10643464
1578158881,10643464
1578158884,10643464
1578158887,10643464
1578158890,10643464
1578158893,10643464
1578158896,10643464
1578158899,10643464
1578158902,10643464
1578158905,10643464
1578158908,10643464
1578158911,10643464
1578158914,10643464
1578158917,10643464
1578158920,10643464
1578158923,10643464
1578158926,10643464
1578158929,10661424
1578158932,10799008
1578158935,10799008
1578158938,10799008
1578158941,10799008
1578158944,10799008
1578158947,10799008
1578158950,10799008
1578158953,10799008
1578158956,10799008
1578158959,10799008
1578158962,10799008
1578158965,10799008
1578158968,10799008
1578158971,10799008
1578158974,10799008
1578158977,10799008
1578158980,10799008
1578158983,10799008
1578158986,10799008
1578158989,10799008
1578158992,10799008
1578158995,10799008
1578158998,10799008
1578159001,10799008
1578159004,10799008
1578159007,10799008
1578159010,10799008
1578159013,10799008
1578159016,10799008
1578159019,10799008
1578159022,10799008
1578159025,10799008
1578159028,10799008
1578159031,10799008
1578159034,10799008
1578159037,10799008
1578159040,10799008
1578159043,10799008
1578159046,10799008
1578159049,10799008
1578159052,10799008
1578159055,10799008
1578159058,10799008
1578159061,10799008
1578159064,10799008
1578159067,10799008
1578159070,10799008
1578159073,10799008
1578159076,10799008
1578159079,10799008
1578159082,10799008
1578159085,10799008
1578159088,10799008
1578159091,10799008
1578159094,10799008
1578159097,10799008
1578159100,10799008
1578159103,10799008
1578159106,10799008
1578159109,10799008
1578159112,10799560
1578159115,10799560
1578159118,10799560
1578159121,10799560
1578159124,10799560
1578159127,10799560
1578159130,10799560
1578159133,10799560
1578159136,10799560
1578159139,10799560
1578159142,10799560
1578159145,10799560
1578159148,10799560
1578159151,10799560
1578159154,10799560
1578159157,10799560
1578159160,10799560
1578159163,10799560
1578159166,10799560
1578159169,10799560
1578159172,10799560
1578159175,10799560
1578159178,10799560
1578159181,10799560
1578159184,10799560
1578159187,10799560
1578159190,10799560
1578159193,10799560
1578159196,10799560
1578159199,10799560
1578159202,10800112
1578159205,10826608
1578159208,11138808
1578159211,11138808
1578159214,11138808
1578159217,11138808
1578159220,11138808
1578159223,11146040
1578159226,11146040
1578159229,11146040
1578159232,11146040
1578159235,11146040
1578159238,11146040
1578159241,11146040
1578159244,11146040
1578159247,11146040
1578159250,11146040
1578159253,11146040
1578159256,11146040
1578159259,11146040
1578159262,11146568
1578159265,11146568
1578159268,11146568
1578159271,11146568
1578159274,11146568
1578159277,11146568
1578159280,11146568
1578159283,11146568
1578159286,11146568
1578159289,11146568
1578159292,11146568
1578159295,11146568
1578159298,11146568
1578159301,11146568
1578159304,11146568
1578159307,11146568
1578159310,11146568
1578159313,11146568
1578159316,11146568
1578159319,11146568
1578159322,11146568
1578159325,11146568
1578159328,11146568
1578159331,11146568
1578159334,11146568
1578159337,11146568
1578159340,11146568
1578159343,11146568
1578159346,11146568
1578159349,11146568
1578159352,11146568
1578159355,11146568
1578159358,11146568
1578159361,11146568
1578159364,11146568
1578159367,11146568
1578159370,11146568
1578159373,11146568
1578159376,11146568
1578159379,11146568
1578159382,11146568
1578159385,11146568
1578159388,11146568
1578159391,11146568
1578159394,11146568
1578159397,11146568
1578159400,11146568
1578159403,11147704
1578159406,11147704
1578159409,11148800
1578159412,11148800
1578159415,11148800
1578159418,11148800
1578159421,11148800
1578159424,11148800
1578159427,11148800
1578159430,11148800
1578159433,11148800
1578159436,11387712
1578159439,11387712
1578159442,11390664
1578159445,11392104
1578159448,11421280
1578159451,11422224
1578159454,11422224
1578159457,11422224
1578159460,11422224
1578159463,11422224
1578159466,11422224
1578159469,11422224
1578159472,11422224
1578159475,11422224
1578159478,11422224
1578159481,11422752
1578159484,11422752
1578159487,11422752
1578159490,11422752
1578159493,11422752
1578159496,11422752
1578159499,11422752
1578159502,11422752
1578159505,11422752
1578159508,11422752
1578159511,11422752
1578159514,11422752
1578159517,11422752
1578159520,11422752
1578159523,11422752
1578159526,11422752
1578159529,11422752
1578159532,11423216
1578159535,11423216
1578159538,11423216
1578159541,11423216
1578159544,11423216
1578159547,11423216
1578159550,11423216
1578159553,11423216
1578159556,11423216
1578159559,11423216
1578159562,11423216
1578159565,11423216
1578159568,11423216
1578159571,11423216
1578159574,11423216
1578159577,11423216
1578159580,11423216
1578159583,11423216
1578159586,11423216
1578159589,11423216
1578159592,11423216
1578159595,11423216
1578159598,11423216
1578159601,11423216
1578159604,11423216
1578159607,11423216
1578159610,11423216
1578159613,11423216
1578159616,11423216
1578159619,11423216
1578159622,11423216
1578159625,11423216
1578159628,11423216
1578159631,11423216
1578159634,11423216
1578159637,11423216
1578159640,11423216
1578159643,11423216
1578159646,11423216
1578159649,11423216
1578159652,11423216
1578159655,11423216
1578159658,11423216
1578159661,11423216
1578159664,11423216
1578159667,11423216
1578159670,11423216
1578159673,11423216
1578159676,11423216
1578159679,11423216
1578159682,11423216
1578159685,11423216
1578159688,11423216
1578159691,11423216
1578159694,11423216
1578159697,11423216
1578159700,11423216
1578159703,11423216
1578159706,11423216
1578159709,11423216
1578159712,11423216
1578159715,11423216
1578159718,11423216
1578159721,11423216
1578159724,11423216
1578159727,11423216
1578159730,11423216
1578159733,11423216
1578159736,11423216
1578159739,11423216
1578159742,11423216
1578159745,11423216
1578159748,11423216
1578159751,11423216
1578159754,11423216
1578159757,11423216
1578159760,11423216
1578159763,11423216
1578159766,11423216
1578159769,11423216
1578159772,11423216
1578159775,11423216
1578159778,11423216
1578159781,11423216
1578159784,11437976
1578159787,11437976
1578159790,11437976
1578159793,11437976
1578159796,11437976
1578159799,11437976
1578159802,11437976
1578159805,11437976
1578159808,11437976
1578159811,11437976
1578159814,11437976
1578159817,11437976
1578159820,11437976
1578159823,11437976
1578159826,11437976
1578159829,11437976
1578159832,11437976
1578159835,11437976
1578159838,11437976
1578159841,11437976
1578159844,11437976
1578159847,11437976
1578159850,11437976
1578159853,11437976
1578159856,11437976
1578159859,11437976
1578159862,11437976
1578159865,11437976
1578159868,11437976
1578159871,11437976
1578159874,11437976
1578159877,11437976
1578159880,11437976
1578159883,11437976
1578159886,11437976
1578159889,11437976
1578159892,11437976
1578159895,11437976
1578159898,11437976
1578159901,11437976
1578159904,11437976
1578159907,11437976
1578159910,11437976
1578159913,11437976
1578159916,11437976
1578159919,11437976
1578159922,11437976
1578159925,11437976
1578159928,11437976
1578159931,11437976
1578159934,11437976
1578159937,11437976
1578159940,11437976
1578159943,11437976
1578159946,11437976
1578159949,11437976
1578159952,11437976
1578159955,11437976
1578159958,11437976
1578159961,11437976
1578159964,11437976
1578159967,11437976
1578159970,11437976
1578159973,11437976
1578159976,11437976
1578159979,11437976
1578159982,11437976
1578159985,11437976
1578159988,11437976
1578159991,11437976
1578159994,11437976
1578159997,11437976
1578160000,11437976
1578160003,11437976
1578160006,11437976
1578160009,11437976
1578160012,11437976
1578160015,11437976
1578160018,11437976
1578160021,11437976
1578160024,11437976
1578160027,11437976
1578160030,11437976
1578160033,11437976
1578160036,11437976
1578160039,11437976
1578160042,11437976
1578160045,11437976
1578160048,11437976
1578160051,11437976
1578160054,11437976
1578160057,11437976
1578160060,11437976
1578160063,11437976
1578160066,11437976
1578160069,11437976
1578160072,11437976
1578160075,11437976
1578160078,11437976
1578160081,11437976
1578160084,11437976
1578160087,11437976
1578160090,11437976
1578160093,11437976
1578160096,11437976
1578160099,11437976
1578160102,11437976
1578160105,11437976
1578160108,11437976
1578160111,11437976
1578160114,11437976
1578160117,11437976
1578160120,11437976
1578160123,11437976
1578160126,11437976
1578160129,11437976
1578160132,11437976
1578160135,11437976
1578160138,11437976
1578160141,11437976
1578160144,11437976
1578160147,11437976
1578160150,11437976
1578160153,11437976
1578160156,11437976
1578160159,11437976
1578160162,11437976
1578160165,11437976
1578160168,11437976
1578160171,11437976
1578160174,11437976
1578160177,11437976
1578160180,11437976
1578160183,11437976
1578160186,11437976
1578160189,11437976
1578160192,11437976
1578160195,11437976
1578160198,11437976
1578160201,11437976
1578160204,11437976
1578160207,11437976
1578160210,11437976
1578160213,11437976
1578160216,11437976
1578160219,11437976
1578160222,11437976
1578160225,11437976
1578160228,11437976
1578160231,11437976
1578160234,11437976
1578160237,11437976
1578160240,11437976
1578160243,11437976
1578160246,11437976
1578160249,11437976
1578160252,11437976
1578160255,11437976
1578160258,11437976
1578160261,11437976
1578160264,11437976
1578160267,11437976
1578160270,11437976
1578160273,11437976
1578160276,11437976
1578160279,11437976
1578160282,11437976
1578160285,11437976
1578160288,11437976
1578160291,11437976
1578160294,11437976
1578160297,11437976
1578160300,11437976
1578160303,11437976
1578160306,11437976
1578160309,11437976
1578160312,11437976
1578160315,11437976
1578160318,11437976
1578160321,11437976
1578160324,11437976
1578160327,11437976
1578160330,11437976
1578160333,11437976
1578160336,11437976
1578160339,11437976
1578160342,11437976
1578160345,11437976
1578160348,11437976
1578160351,11437976
1578160354,11437976
1578160357,11437976
1578160360,11437976
1578160363,11437976
1578160366,11437976
1578160369,11437976
1578160372,11437976
1578160375,11437976
1578160378,11437976
1578160381,11437976
1578160384,11437976
1578160387,11437976
1578160390,11437976
1578160393,11437976
1578160396,11437976
1578160399,11437976
1578160402,11437976
1578160405,11437976
1578160408,11437976
1578160411,11437976
1578160414,11437976
1578160417,11437976
1578160420,11437976
1578160423,11437976
1578160426,11437976
1578160429,11437976
1578160432,11437976
1578160435,11437976
1578160438,11437976
1578160441,11437976
1578160444,11437976
1578160447,11437976
1578160450,11437976
1578160453,11437976
1578160456,11437976
1578160459,11437976
1578160462,11437976
1578160465,11437976
1578160468,11437976
1578160471,11437976
1578160474,11437976
1578160477,11437976
1578160480,11437976
1578160483,11437976
1578160486,11437976
1578160489,11437976
1578160492,11437976
1578160495,11437976
1578160498,11437976
1578160501,11437976
1578160504,11437976
1578160507,11437976
1578160510,11437976
1578160513,11437976
1578160516,11437976
1578160519,11437976
1578160522,11437976
1578160525,11437976
1578160528,11437976
1578160531,11437976
1578160534,11437976
1578160537,11437976
1578160540,11437976
1578160543,11437976
1578160546,11437976
1578160549,11437976
1578160552,11437976
1578160555,11437976
1578160558,11437976
1578160561,11437976
1578160564,11437976
1578160567,11437976
1578160570,11437976
1578160573,11437976
1578160576,11437976
1578160579,11437976
1578160582,11437976
1578160585,11437976
1578160588,11437976
1578160591,11437976
1578160594,11437976
1578160597,11437976
1578160600,11437976
1578160603,11437976
1578160606,11437976
1578160609,11437976
1578160612,11437976
1578160615,11437976
1578160618,11437976
1578160621,11437976
1578160624,11437976
1578160627,11437976
1578160630,11437976
1578160633,11437976
1578160636,11437976
1578160639,11437976
1578160642,11437976
1578160645,11437976
1578160648,11437976
1578160651,11437976
1578160654,11437976
1578160657,11437976
1578160660,11437976
1578160663,11437976
1578160666,11437976
1578160669,11437976
1578160672,11437976
1578160675,11437976
1578160678,11437976
1578160681,11437976
1578160684,11437976
1578160687,11437976
1578160690,11437976
1578160693,11437976
1578160696,11437976
1578160699,11437976
1578160702,11437976
1578160705,11437976
1578160708,11437976
1578160711,11437976
1578160714,11437976
1578160717,11437976
1578160720,11437976
1578160723,11437976
1578160726,11437976
1578160729,11437976
1578160732,11437976
1578160735,11437976
1578160738,11437976
1578160741,11437976
1578160744,11437976
1578160747,11437976
1578160750,11437976
1578160753,11437976
1578160756,11437976
1578160759,11437976
1578160762,11437976
1578160765,11437976
1578160768,11437976
1578160771,11437976
1578160774,11437976
1578160777,11437976
1578160780,11437976
1578160783,11437976
1578160786,11437976
1578160789,11437976
1578160792,11437976
1578160795,11437976
1578160798,11437976
1578160801,11437976
1578160804,11437976
1578160807,11437976
1578160810,11437976
1578160813,11437976
1578160816,11437976
1578160819,11437976
1578160822,11437976
1578160825,11437976
1578160828,11437976
1578160831,11437976
1578160834,11437976
1578160837,11437976
1578160840,11437976
1578160843,11437976
1578160846,11437976
1578160849,11437976
1578160852,11437976
1578160855,11437976
