t,value
1578158215,93323264
1578158218,140509184
1578158221,236978176
1578158224,258998272
1578158227,258998272
1578158230,260046848
1578158233,260046848
1578158236,261095424
1578158239,261095424
1578158242,266338304
1578158245,268435456
1578158248,269484032
1578158251,274726912
1578158254,274726912
1578158257,275775488
1578158260,275775488
1578158263,281018368
1578158266,282066944
1578158269,282066944
1578158272,284164096
1578158275,284164096
1578158278,285212672
1578158281,4194304
1578158284,6291456
1578158287,7340032
1578158290,7340032
1578158293,7340032
1578158296,8388608
1578158299,8388608
1578158302,13631488
1578158305,13631488
1578158308,13631488
1578158311,14680064
1578158314,15728640
1578158317,16777216
1578158320,16777216
1578158323,20971520
1578158326,22020096
1578158329,22020096
1578158332,23068672
1578158335,24117248
1578158338,25165824
1578158341,30408704
1578158344,34603008
1578158347,35651584
1578158350,35651584
1578158353,36700160
1578158356,36700160
1578158359,37748736
1578158362,41943040
1578158365,41943040
1578158368,42991616
1578158371,42991616
1578158374,44040192
1578158377,44040192
1578158380,45088768
1578158383,53477376
1578158386,53477376
1578158389,54525952
1578158392,55574528
1578158395,59768832
1578158398,60817408
1578158401,65011712
1578158404,66060288
1578158407,66060288
1578158410,67108864
1578158413,68157440
1578158416,68157440
1578158419,69206016
1578158422,74448896
1578158425,75497472
1578158428,75497472
1578158431,76546048
1578158434,81788928
1578158437,81788928
1578158440,81788928
1578158443,87031808
1578158446,87031808
1578158449,88080384
1578158452,89128960
1578158455,89128960
1578158458,90177536
1578158461,94371840
1578158464,94371840
1578158467,94371840
1578158470,95420416
1578158473,100663296
1578158476,100663296
1578158479,100663296
1578158482,105906176
1578158485,105906176
1578158488,105906176
1578158491,106954752
1578158494,106954752
1578158497,108003328
1578158500,108003328
1578158503,112197632
1578158506,112197632
1578158509,113246208
1578158512,114294784
1578158515,114294784
1578158518,114294784
1578158521,119537664
1578158524,119537664
1578158527,119537664
1578158530,120586240
1578158533,120586240
1578158536,121634816
1578158539,121634816
1578158542,126877696
1578158545,126877696
1578158548,126877696
1578158551,127926272
1578158554,127926272
1578158557,128974848
1578158560,128974848
1578158563,133169152
1578158566,133169152
1578158569,134217728
1578158572,134217728
1578158575,135266304
1578158578,135266304
1578158581,139460608
1578158584,140509184
1578158587,140509184
1578158590,141557760
1578158593,141557760
1578158596,141557760
1578158599,142606336
1578158602,146800640
1578158605,146800640
1578158608,147849216
1578158611,147849216
1578158614,148897792
1578158617,148897792
1578158620,148897792
1578158623,154140672
1578158626,154140672
1578158629,154140672
1578158632,155189248
1578158635,156237824
1578158638,156237824
1578158641,160432128
1578158644,160432128
1578158647,161480704
1578158650,161480704
1578158653,162529280
1578158656,162529280
1578158659,162529280
1578158662,167772160
1578158665,167772160
1578158668,167772160
1578158671,168820736
1578158674,168820736
1578158677,169869312
1578158680,169869312
1578158683,174063616
1578158686,175112192
1578158689,175112192
1578158692,176160768
1578158695,176160768
1578158698,177209344
1578158701,181403648
1578158704,185597952
1578158707,186646528
1578158710,186646528
1578158713,187695104
1578158716,187695104
1578158719,187695104
1578158722,191889408
1578158725,192937984
1578158728,192937984
1578158731,193986560
1578158734,193986560
1578158737,193986560
1578158740,195035136
1578158743,199229440
1578158746,199229440
1578158749,200278016
1578158752,201326592
1578158755,201326592
1578158758,201326592
1578158761,205520896
1578158764,206569472
1578158767,206569472
1578158770,207618048
1578158773,207618048
1578158776,207618048
1578158779,208666624
1578158782,212860928
1578158785,213909504
1578158788,213909504
1578158791,214958080
1578158794,214958080
1578158797,214958080
1578158800,216006656
1578158803,220200960
1578158806,220200960
1578158809,220200960
1578158812,221249536
1578158815,222298112
1578158818,222298112
1578158821,226492416
1578158824,227540992
1578158827,227540992
1578158830,228589568
1578158833,228589568
1578158836,228589568
1578158839,234881024
1578158842,239075328
1578158845,239075328
1578158848,240123904
1578158851,240123904
1578158854,240123904
1578158857,241172480
1578158860,241172480
1578158863,246415360
1578158866,246415360
1578158869,246415360
1578158872,247463936
1578158875,247463936
1578158878,248512512
1578158881,253755392
1578158884,253755392
1578158887,253755392
1578158890,254803968
1578158893,254803968
1578158896,254803968
1578158899,255852544
1578158902,260046848
1578158905,261095424
1578158908,261095424
1578158911,262144000
1578158914,262144000
1578158917,262144000
1578158920,263192576
1578158923,267386880
1578158926,267386880
1578158929,271581184
1578158932,8388608
1578158935,8388608
1578158938,9437184
1578158941,13631488
1578158944,14680064
1578158947,14680064
1578158950,15728640
1578158953,15728640
1578158956,15728640
1578158959,16777216
1578158962,22020096
1578158965,22020096
1578158968,23068672
1578158971,23068672
1578158974,23068672
1578158977,24117248
1578158980,24117248
1578158983,29360128
1578158986,30408704
1578158989,30408704
1578158992,31457280
1578158995,31457280
1578158998,33554432
1578159001,36700160
1578159004,37748736
1578159007,37748736
1578159010,38797312
1578159013,38797312
1578159016,39845888
1578159019,39845888
1578159022,45088768
1578159025,45088768
1578159028,45088768
1578159031,46137344
1578159034,46137344
1578159037,46137344
1578159040,47185920
1578159043,52428800
1578159046,52428800
1578159049,52428800
1578159052,53477376
1578159055,54525952
1578159058,54525952
1578159061,59768832
1578159064,59768832
1578159067,60817408
1578159070,60817408
1578159073,61865984
1578159076,61865984
1578159079,62914560
1578159082,67108864
1578159085,67108864
1578159088,68157440
1578159091,68157440
1578159094,72351744
1578159097,73400320
1578159100,73400320
1578159103,78643200
1578159106,78643200
1578159109,79691776
1578159112,83886080
1578159115,83886080
1578159118,84934656
1578159121,89128960
1578159124,89128960
1578159127,89128960
1578159130,90177536
1578159133,90177536
1578159136,91226112
1578159139,91226112
1578159142,95420416
1578159145,96468992
1578159148,96468992
1578159151,96468992
1578159154,97517568
1578159157,97517568
1578159160,98566144
1578159163,102760448
1578159166,102760448
1578159169,102760448
1578159172,103809024
1578159175,103809024
1578159178,104857600
1578159181,109051904
1578159184,110100480
1578159187,110100480
1578159190,110100480
1578159193,111149056
1578159196,111149056
1578159199,112197632
1578159202,120586240
1578159205,124780544
1578159208,152043520
1578159211,154140672
1578159214,154140672
1578159217,155189248
1578159220,155189248
1578159223,174063616
1578159226,174063616
1578159229,175112192
1578159232,175112192
1578159235,176160768
1578159238,176160768
1578159241,181403648
1578159244,181403648
1578159247,181403648
1578159250,182452224
1578159253,182452224
1578159256,182452224
1578159259,183500800
1578159262,187695104
1578159265,187695104
1578159268,187695104
1578159271,188743680
1578159274,188743680
1578159277,188743680
1578159280,189792256
1578159283,193986560
1578159286,195035136
1578159289,195035136
1578159292,196083712
1578159295,196083712
1578159298,196083712
1578159301,201326592
1578159304,201326592
1578159307,202375168
1578159310,202375168
1578159313,202375168
1578159316,203423744
1578159319,203423744
1578159322,207618048
1578159325,207618048
1578159328,208666624
1578159331,208666624
1578159334,209715200
1578159337,209715200
1578159340,209715200
1578159343,214958080
1578159346,214958080
1578159349,216006656
1578159352,217055232
1578159355,217055232
1578159358,217055232
1578159361,222298112
1578159364,222298112
1578159367,222298112
1578159370,223346688
1578159373,223346688
1578159376,224395264
1578159379,224395264
1578159382,229638144
1578159385,229638144
1578159388,229638144
1578159391,230686720
1578159394,230686720
1578159397,231735296
1578159400,231735296
1578159403,239075328
1578159406,240123904
1578159409,249561088
1578159412,250609664
1578159415,250609664
1578159418,251658240
1578159421,255852544
1578159424,255852544
1578159427,256901120
1578159430,264241152
1578159433,264241152
1578159436,91226112
1578159439,92274688
1578159442,3145728
1578159445,9437184
1578159448,19922944
1578159451,101711872
1578159454,101711872
1578159457,101711872
1578159460,102760448
1578159463,106954752
1578159466,108003328
1578159469,108003328
1578159472,109051904
1578159475,109051904
1578159478,110100480
1578159481,114294784
1578159484,114294784
1578159487,114294784
1578159490,115343360
1578159493,115343360
1578159496,116391936
1578159499,116391936
1578159502,121634816
1578159505,121634816
1578159508,121634816
1578159511,122683392
1578159514,122683392
1578159517,123731968
1578159520,123731968
1578159523,128974848
1578159526,128974848
1578159529,130023424
1578159532,130023424
1578159535,131072000
1578159538,131072000
1578159541,136314880
1578159544,136314880
1578159547,136314880
1578159550,137363456
1578159553,137363456
1578159556,137363456
1578159559,138412032
1578159562,143654912
1578159565,143654912
1578159568,143654912
1578159571,144703488
1578159574,144703488
1578159577,144703488
1578159580,145752064
1578159583,149946368
1578159586,149946368
1578159589,150994944
1578159592,152043520
1578159595,152043520
1578159598,152043520
1578159601,156237824
1578159604,157286400
1578159607,157286400
1578159610,157286400
1578159613,158334976
1578159616,158334976
1578159619,159383552
1578159622,163577856
1578159625,163577856
1578159628,163577856
1578159631,164626432
1578159634,164626432
1578159637,165675008
1578159640,165675008
1578159643,170917888
1578159646,170917888
1578159649,170917888
1578159652,171966464
1578159655,173015040
1578159658,173015040
1578159661,177209344
1578159664,178257920
1578159667,178257920
1578159670,179306496
1578159673,179306496
1578159676,179306496
1578159679,181403648
1578159682,181403648
1578159685,181403648
1578159688,182452224
1578159691,182452224
1578159694,182452224
1578159697,183500800
1578159700,183500800
1578159703,184549376
1578159706,184549376
1578159709,184549376
1578159712,185597952
1578159715,185597952
1578159718,186646528
1578159721,186646528
1578159724,187695104
1578159727,187695104
1578159730,187695104
1578159733,188743680
1578159736,188743680
1578159739,189792256
1578159742,189792256
1578159745,189792256
1578159748,190840832
1578159751,190840832
1578159754,191889408
1578159757,191889408
1578159760,192937984
1578159763,192937984
1578159766,192937984
1578159769,193986560
1578159772,193986560
1578159775,195035136
1578159778,195035136
1578159781,196083712
1578159784,199229440
1578159787,199229440
1578159790,200278016
1578159793,200278016
1578159796,201326592
1578159799,201326592
1578159802,202375168
1578159805,202375168
1578159808,202375168
1578159811,203423744
1578159814,203423744
1578159817,204472320
1578159820,204472320
1578159823,204472320
1578159826,205520896
1578159829,205520896
1578159832,206569472
1578159835,206569472
1578159838,207618048
1578159841,207618048
1578159844,208666624
1578159847,208666624
1578159850,208666624
1578159853,209715200
1578159856,209715200
1578159859,210763776
1578159862,210763776
1578159865,210763776
1578159868,211812352
1578159871,211812352
1578159874,212860928
1578159877,212860928
1578159880,213909504
1578159883,213909504
1578159886,213909504
1578159889,214958080
1578159892,216006656
1578159895,216006656
1578159898,216006656
1578159901,217055232
1578159904,217055232
1578159907,217055232
1578159910,218103808
1578159913,218103808
1578159916,219152384
1578159919,219152384
1578159922,220200960
1578159925,220200960
1578159928,220200960
1578159931,221249536
1578159934,221249536
1578159937,222298112
1578159940,222298112
1578159943,222298112
1578159946,223346688
1578159949,223346688
1578159952,224395264
1578159955,224395264
1578159958,225443840
1578159961,225443840
1578159964,226492416
1578159967,226492416
1578159970,226492416
1578159973,227540992
1578159976,227540992
1578159979,228589568
1578159982,228589568
1578159985,228589568
1578159988,229638144
1578159991,229638144
1578159994,230686720
1578159997,230686720
1578160000,231735296
1578160003,231735296
1578160006,231735296
1578160009,232783872
1578160012,233832448
1578160015,233832448
1578160018,234881024
1578160021,234881024
1578160024,234881024
1578160027,235929600
1578160030,235929600
1578160033,235929600
1578160036,236978176
1578160039,236978176
1578160042,238026752
1578160045,238026752
1578160048,238026752
1578160051,239075328
1578160054,239075328
1578160057,239075328
1578160060,240123904
1578160063,240123904
1578160066,241172480
1578160069,241172480
1578160072,242221056
1578160075,242221056
1578160078,243269632
1578160081,243269632
1578160084,243269632
1578160087,244318208
1578160090,244318208
1578160093,245366784
1578160096,245366784
1578160099,245366784
1578160102,246415360
1578160105,246415360
1578160108,247463936
1578160111,247463936
1578160114,247463936
1578160117,248512512
1578160120,248512512
1578160123,248512512
1578160126,249561088
1578160129,249561088
1578160132,250609664
1578160135,250609664
1578160138,251658240
1578160141,251658240
1578160144,252706816
1578160147,252706816
1578160150,252706816
1578160153,253755392
1578160156,253755392
1578160159,254803968
1578160162,254803968
1578160165,254803968
1578160168,255852544
1578160171,255852544
1578160174,256901120
1578160177,256901120
1578160180,256901120
1578160183,257949696
1578160186,257949696
1578160189,258998272
1578160192,258998272
1578160195,260046848
1578160198,260046848
1578160201,261095424
1578160204,261095424
1578160207,261095424
1578160210,262144000
1578160213,262144000
1578160216,262144000
1578160219,263192576
1578160222,263192576
1578160225,264241152
1578160228,264241152
1578160231,264241152
1578160234,265289728
1578160237,265289728
1578160240,266338304
1578160243,266338304
1578160246,266338304
1578160249,267386880
1578160252,268435456
1578160255,268435456
1578160258,268435456
1578160261,269484032
1578160264,269484032
1578160267,269484032
1578160270,270532608
1578160273,270532608
1578160276,271581184
1578160279,271581184
1578160282,271581184
1578160285,272629760
1578160288,272629760
1578160291,273678336
1578160294,273678336
1578160297,273678336
1578160300,274726912
1578160303,274726912
1578160306,275775488
1578160309,275775488
1578160312,276824064
1578160315,276824064
1578160318,277872640
1578160321,277872640
1578160324,277872640
1578160327,278921216
1578160330,278921216
1578160333,279969792
1578160336,279969792
1578160339,279969792
1578160342,281018368
1578160345,281018368
1578160348,282066944
1578160351,282066944
1578160354,282066944
1578160357,283115520
1578160360,283115520
1578160363,283115520
1578160366,284164096
1578160369,284164096
1578160372,285212672
1578160375,285212672
1578160378,286261248
1578160381,286261248
1578160384,287309824
1578160387,287309824
1578160390,287309824
1578160393,288358400
1578160396,288358400
1578160399,289406976
1578160402,289406976
1578160405,289406976
1578160408,290455552
1578160411,290455552
1578160414,291504128
1578160417,291504128
1578160420,291504128
1578160423,292552704
1578160426,292552704
1578160429,292552704
1578160432,293601280
1578160435,294649856
1578160438,294649856
1578160441,294649856
1578160444,295698432
1578160447,295698432
1578160450,296747008
1578160453,296747008
1578160456,296747008
1578160459,297795584
1578160462,297795584
1578160465,298844160
1578160468,298844160
1578160471,298844160
1578160474,0
1578160477,0
1578160480,1048576
1578160483,2097152
1578160486,2097152
1578160489,2097152
1578160492,3145728
1578160495,3145728
1578160498,4194304
1578160501,4194304
1578160504,4194304
1578160507,5242880
1578160510,6291456
1578160513,6291456
1578160516,6291456
1578160519,6291456
1578160522,7340032
1578160525,8388608
1578160528,8388608
1578160531,8388608
1578160534,8388608
1578160537,9437184
1578160540,9437184
1578160543,9437184
1578160546,10485760
1578160549,11534336
1578160552,11534336
1578160555,11534336
1578160558,12582912
1578160561,13631488
1578160564,13631488
1578160567,13631488
1578160570,13631488
1578160573,14680064
1578160576,15728640
1578160579,15728640
1578160582,15728640
1578160585,15728640
1578160588,16777216
1578160591,17825792
1578160594,17825792
1578160597,17825792
1578160600,17825792
1578160603,18874368
1578160606,18874368
1578160609,18874368
1578160612,19922944
1578160615,20971520
1578160618,20971520
1578160621,20971520
1578160624,22020096
1578160627,23068672
1578160630,23068672
1578160633,23068672
1578160636,23068672
1578160639,24117248
1578160642,25165824
1578160645,25165824
1578160648,25165824
1578160651,25165824
1578160654,26214400
1578160657,27262976
1578160660,27262976
1578160663,27262976
1578160666,27262976
1578160669,28311552
1578160672,29360128
1578160675,29360128
1578160678,29360128
1578160681,30408704
1578160684,30408704
1578160687,30408704
1578160690,31457280
1578160693,32505856
1578160696,32505856
1578160699,32505856
1578160702,33554432
1578160705,33554432
1578160708,34603008
1578160711,34603008
1578160714,34603008
1578160717,34603008
1578160720,35651584
1578160723,35651584
1578160726,36700160
1578160729,36700160
1578160732,37748736
1578160735,37748736
1578160738,38797312
1578160741,38797312
1578160744,39845888
1578160747,39845888
1578160750,39845888
1578160753,39845888
1578160756,40894464
1578160759,40894464
1578160762,41943040
1578160765,41943040
1578160768,42991616
1578160771,42991616
1578160774,42991616
1578160777,44040192
1578160780,44040192
1578160783,45088768
1578160786,45088768
1578160789,45088768
1578160792,46137344
1578160795,46137344
1578160798,47185920
1578160801,47185920
1578160804,48234496
1578160807,48234496
1578160810,49283072
1578160813,49283072
