t,value
1578158215,6291464
1578158218,5767168
1578158221,5767168
1578158224,5767168
1578158227,5767168
1578158230,5767168
1578158233,5767168
1578158236,5767168
1578158239,5767168
1578158242,5767168
1578158245,5767168
1578158248,5767168
1578158251,5767168
1578158254,5767168
1578158257,5767168
1578158260,5767168
1578158263,5767168
1578158266,5767168
1578158269,5767168
1578158272,5767168
1578158275,5767168
1578158278,5767168
1578158281,10761232
1578158284,10761232
1578158287,10761232
1578158290,10761232
1578158293,10761232
1578158296,10761232
1578158299,10761232
1578158302,10761232
1578158305,10761232
1578158308,10761232
1578158311,10761232
1578158314,10761232
1578158317,10761232
1578158320,10761232
1578158323,10761232
1578158326,10761232
1578158329,10761232
1578158332,10761232
1578158335,10761232
1578158338,10761232
1578158341,10761232
1578158344,10761232
1578158347,10761232
1578158350,10761232
1578158353,10761232
1578158356,10761232
1578158359,10761232
1578158362,10761232
1578158365,10761232
1578158368,10761232
1578158371,10761232
1578158374,10761232
1578158377,10761232
1578158380,10761232
1578158383,10761232
1578158386,10761232
1578158389,10761232
1578158392,10761232
1578158395,10761232
1578158398,10761232
1578158401,10761232
1578158404,10761232
1578158407,10761232
1578158410,10761232
1578158413,10761232
1578158416,10761232
1578158419,10761232
1578158422,10761232
1578158425,10761232
1578158428,10761232
1578158431,10761232
1578158434,10761232
1578158437,10761232
1578158440,10761232
1578158443,10761232
1578158446,10761232
1578158449,10761232
1578158452,10761232
1578158455,10761232
1578158458,10761232
1578158461,10761232
1578158464,10761232
1578158467,10761232
1578158470,10761232
1578158473,10761232
1578158476,10761232
1578158479,10761232
1578158482,10761232
1578158485,10761232
1578158488,10761232
1578158491,10761232
1578158494,10761232
1578158497,10761232
1578158500,10761232
1578158503,10761232
1578158506,10761232
1578158509,10761232
1578158512,10761232
1578158515,10761232
1578158518,10761232
1578158521,10761232
1578158524,10761232
1578158527,10761232
1578158530,10761232
1578158533,10761232
1578158536,10761232
1578158539,10761232
1578158542,10761232
1578158545,10761232
1578158548,10761232
1578158551,10761232
1578158554,10761232
1578158557,10761232
1578158560,10761232
1578158563,10761232
1578158566,10761232
1578158569,10761232
1578158572,10761232
1578158575,10761232
1578158578,10761232
1578158581,10761232
1578158584,10761232
1578158587,10761232
1578158590,10761232
1578158593,10761232
1578158596,10761232
1578158599,10761232
1578158602,10761232
1578158605,10761232
1578158608,10761232
1578158611,10761232
1578158614,10761232
1578158617,10761232
1578158620,10761232
1578158623,10761232
1578158626,10761232
1578158629,10761232
1578158632,10761232
1578158635,10761232
1578158638,10761232
1578158641,10761232
1578158644,10761232
1578158647,10761232
1578158650,10761232
1578158653,10761232
1578158656,10761232
1578158659,10761232
1578158662,10761232
1578158665,10761232
1578158668,10761232
1578158671,10761232
1578158674,10761232
1578158677,10761232
1578158680,10761232
1578158683,10761232
1578158686,10761232
1578158689,10761232
1578158692,10761232
1578158695,10761232
1578158698,10761232
1578158701,10761232
1578158704,10761232
1578158707,10761232
1578158710,10761232
1578158713,10761232
1578158716,10761232
1578158719,10761232
1578158722,10761232
1578158725,10761232
1578158728,10761232
1578158731,10761232
1578158734,10761232
1578158737,10761232
1578158740,10761232
1578158743,10761232
1578158746,10761232
1578158749,10761232
1578158752,10761232
1578158755,10761232
1578158758,10761232
1578158761,10761232
1578158764,10761232
1578158767,10761232
1578158770,10761232
1578158773,10761232
1578158776,10761232
1578158779,10761232
1578158782,10761232
1578158785,10761232
1578158788,10761232
1578158791,10761232
1578158794,10761232
1578158797,10761232
1578158800,10761232
1578158803,10761232
1578158806,10761232
1578158809,10761232
1578158812,10761232
1578158815,10761232
1578158818,10761232
1578158821,10761232
1578158824,10761232
1578158827,10761232
1578158830,10761232
1578158833,10761232
1578158836,10761232
1578158839,10761232
1578158842,10761232
1578158845,10761232
1578158848,10761232
1578158851,10761232
1578158854,10761232
1578158857,10761232
1578158860,10761232
1578158863,10761232
1578158866,10761232
1578158869,10761232
1578158872,10761232
1578158875,10761232
1578158878,10761232
1578158881,10761232
1578158884,10761232
1578158887,10761232
1578158890,10761232
1578158893,10761232
1578158896,10761232
1578158899,10761232
1578158902,10761232
1578158905,10761232
