t,value
1578158215,37748736
1578158218,32505856
1578158221,32505856
1578158224,32505856
1578158227,32505856
1578158230,32505856
1578158233,32505856
1578158236,32505856
1578158239,32505856
1578158242,32505856
1578158245,32505856
1578158248,32505856
1578158251,32505856
1578158254,32505856
1578158257,32505856
1578158260,32505856
1578158263,32505856
1578158266,32505856
1578158269,32505856
1578158272,32505856
1578158275,32505856
1578158278,32505856
1578158281,40894464
1578158284,40894464
1578158287,40894464
1578158290,40894464
1578158293,40894464
1578158296,40894464
1578158299,40894464
1578158302,40894464
1578158305,40894464
1578158308,40894464
1578158311,40894464
1578158314,40894464
1578158317,40894464
1578158320,40894464
1578158323,40894464
1578158326,40894464
1578158329,40894464
1578158332,40894464
1578158335,40894464
1578158338,40894464
1578158341,40894464
1578158344,40894464
1578158347,40894464
1578158350,40894464
1578158353,40894464
1578158356,40894464
1578158359,40894464
1578158362,40894464
1578158365,40894464
1578158368,40894464
1578158371,40894464
1578158374,40894464
1578158377,40894464
1578158380,40894464
1578158383,40894464
1578158386,40894464
1578158389,40894464
1578158392,40894464
1578158395,40894464
1578158398,40894464
1578158401,40894464
1578158404,40894464
1578158407,40894464
1578158410,40894464
1578158413,40894464
1578158416,40894464
1578158419,40894464
1578158422,40894464
1578158425,40894464
1578158428,40894464
1578158431,40894464
1578158434,40894464
1578158437,40894464
1578158440,40894464
1578158443,40894464
1578158446,40894464
1578158449,40894464
1578158452,40894464
1578158455,40894464
1578158458,40894464
1578158461,40894464
1578158464,40894464
1578158467,40894464
1578158470,40894464
1578158473,40894464
1578158476,40894464
1578158479,40894464
1578158482,40894464
1578158485,40894464
1578158488,40894464
1578158491,40894464
1578158494,40894464
1578158497,40894464
1578158500,40894464
1578158503,40894464
1578158506,40894464
1578158509,40894464
1578158512,40894464
1578158515,40894464
1578158518,40894464
1578158521,40894464
1578158524,40894464
1578158527,40894464
1578158530,40894464
1578158533,40894464
1578158536,40894464
1578158539,40894464
1578158542,40894464
1578158545,40894464
1578158548,40894464
1578158551,40894464
1578158554,40894464
1578158557,40894464
1578158560,40894464
1578158563,40894464
1578158566,40894464
1578158569,40894464
1578158572,40894464
1578158575,40894464
1578158578,40894464
1578158581,40894464
1578158584,40894464
1578158587,40894464
1578158590,40894464
1578158593,40894464
1578158596,40894464
1578158599,40894464
1578158602,40894464
1578158605,40894464
1578158608,40894464
1578158611,40894464
1578158614,40894464
1578158617,40894464
1578158620,40894464
1578158623,40894464
1578158626,40894464
1578158629,40894464
1578158632,40894464
1578158635,40894464
1578158638,40894464
1578158641,40894464
1578158644,40894464
1578158647,40894464
1578158650,40894464
1578158653,40894464
1578158656,40894464
1578158659,40894464
1578158662,40894464
1578158665,40894464
1578158668,40894464
1578158671,40894464
1578158674,40894464
1578158677,40894464
1578158680,40894464
1578158683,40894464
1578158686,40894464
1578158689,40894464
1578158692,40894464
1578158695,40894464
1578158698,40894464
1578158701,40894464
1578158704,40894464
1578158707,40894464
1578158710,40894464
1578158713,40894464
1578158716,40894464
1578158719,40894464
1578158722,40894464
1578158725,40894464
1578158728,40894464
1578158731,40894464
1578158734,40894464
1578158737,40894464
1578158740,40894464
1578158743,40894464
1578158746,40894464
1578158749,40894464
1578158752,40894464
1578158755,40894464
1578158758,40894464
1578158761,40894464
1578158764,40894464
1578158767,40894464
1578158770,40894464
1578158773,40894464
1578158776,40894464
1578158779,40894464
1578158782,40894464
1578158785,40894464
1578158788,40894464
1578158791,40894464
1578158794,40894464
1578158797,40894464
1578158800,40894464
1578158803,40894464
1578158806,40894464
1578158809,40894464
1578158812,40894464
1578158815,40894464
1578158818,40894464
1578158821,40894464
1578158824,40894464
1578158827,40894464
1578158830,40894464
1578158833,40894464
1578158836,40894464
1578158839,40894464
1578158842,40894464
1578158845,40894464
1578158848,40894464
1578158851,40894464
1578158854,40894464
1578158857,40894464
1578158860,40894464
1578158863,40894464
1578158866,40894464
1578158869,40894464
1578158872,40894464
1578158875,40894464
1578158878,40894464
1578158881,40894464
1578158884,40894464
1578158887,40894464
1578158890,40894464
1578158893,40894464
1578158896,40894464
1578158899,40894464
1578158902,40894464
1578158905,40894464
1578158908,40894464
1578158911,40894464
1578158914,40894464
1578158917,40894464
1578158920,40894464
1578158923,40894464
1578158926,40894464
1578158929,40894464
1578158932,20971520
1578158935,20971520
1578158938,20971520
1578158941,20971520
1578158944,20971520
1578158947,20971520
1578158950,20971520
1578158953,20971520
1578158956,20971520
1578158959,20971520
1578158962,20971520
1578158965,20971520
1578158968,20971520
1578158971,20971520
1578158974,20971520
1578158977,20971520
1578158980,20971520
1578158983,20971520
1578158986,20971520
1578158989,20971520
1578158992,20971520
1578158995,20971520
1578158998,20971520
1578159001,20971520
1578159004,20971520
1578159007,20971520
1578159010,20971520
1578159013,20971520
1578159016,20971520
1578159019,20971520
1578159022,20971520
1578159025,20971520
1578159028,20971520
1578159031,20971520
1578159034,20971520
1578159037,20971520
1578159040,20971520
1578159043,20971520
1578159046,20971520
1578159049,20971520
1578159052,20971520
1578159055,20971520
1578159058,20971520
1578159061,20971520
1578159064,20971520
1578159067,20971520
1578159070,20971520
1578159073,20971520
1578159076,20971520
1578159079,20971520
1578159082,20971520
1578159085,20971520
1578159088,20971520
1578159091,20971520
1578159094,20971520
1578159097,20971520
1578159100,20971520
1578159103,20971520
1578159106,20971520
1578159109,20971520
1578159112,20971520
1578159115,20971520
1578159118,20971520
1578159121,20971520
1578159124,20971520
1578159127,20971520
1578159130,20971520
1578159133,20971520
1578159136,20971520
1578159139,20971520
1578159142,20971520
1578159145,20971520
1578159148,20971520
1578159151,20971520
1578159154,20971520
1578159157,20971520
1578159160,20971520
1578159163,20971520
1578159166,20971520
1578159169,20971520
1578159172,20971520
1578159175,20971520
1578159178,20971520
1578159181,20971520
1578159184,20971520
1578159187,20971520
1578159190,20971520
1578159193,20971520
1578159196,20971520
1578159199,20971520
1578159202,20971520
