t,value
1578158215,58596152
1578158218,68112728
1578158221,72900136
1578158224,73733752
1578158227,73747000
1578158230,73760712
1578158233,73767200
1578158236,73773016
1578158239,73793040
1578158242,73891928
1578158245,73993432
1578158248,73997680
1578158251,74078720
1578158254,74082920
1578158257,74094136
1578158260,74104216
1578158263,74173264
1578158266,74192232
1578158269,74196048
1578158272,74205976
1578158275,74207904
1578158278,74219448
1578158281,74259984
1578158284,74268632
1578158287,74270040
1578158290,74270760
1578158293,74273960
1578158296,74274264
1578158299,74274264
1578158302,74312416
1578158305,74313864
1578158308,74313864
1578158311,74313864
1578158314,74330648
1578158317,74334688
1578158320,74350784
1578158323,74387032
1578158326,74387032
1578158329,74387032
1578158332,74387696
1578158335,74394784
1578158338,74398480
1578158341,74452504
1578158344,74498008
1578158347,74500856
1578158350,74505712
1578158353,74505712
1578158356,74505712
1578158359,74505712
1578158362,74531704
1578158365,74533392
1578158368,74533392
1578158371,74534896
1578158374,74537376
1578158377,74537376
1578158380,74540144
1578158383,74599368
1578158386,74603240
1578158389,74603240
1578158392,74631576
1578158395,74655792
1578158398,74655792
1578158401,74679888
1578158404,74685640
1578158407,74692104
1578158410,74700592
1578158413,74705520
1578158416,74717280
1578158419,74726960
1578158422,74769224
1578158425,74788960
1578158428,74791888
1578158431,74798600
1578158434,74820976
1578158437,74820976
1578158440,74820976
1578158443,74829408
1578158446,74829408
1578158449,74831488
1578158452,74836072
1578158455,74836072
1578158458,74836072
1578158461,74852400
1578158464,74853032
1578158467,74853784
1578158470,74855360
1578158473,74873272
1578158476,74875936
1578158479,74875936
1578158482,74884112
1578158485,74884112
1578158488,74885784
1578158491,74885784
1578158494,74885784
1578158497,74885784
1578158500,74885784
1578158503,74888592
1578158506,74888592
1578158509,74888592
1578158512,74890512
1578158515,74890512
1578158518,74890512
1578158521,74901288
1578158524,74901288
1578158527,74910536
1578158530,74910536
1578158533,74910536
1578158536,74910536
1578158539,74910536
1578158542,74917968
1578158545,74917968
1578158548,74917968
1578158551,74917968
1578158554,74917968
1578158557,74917968
1578158560,74917968
1578158563,74935192
1578158566,74935192
1578158569,74935192
1578158572,74938184
1578158575,74938472
1578158578,74938472
1578158581,74942600
1578158584,74943152
1578158587,74943152
1578158590,74943152
1578158593,74943152
1578158596,74948232
1578158599,74961008
1578158602,74978136
1578158605,74978136
1578158608,74978136
1578158611,74979768
1578158614,74979768
1578158617,74979768
1578158620,74979768
1578158623,74987200
1578158626,74987200
1578158629,74987720
1578158632,74992040
1578158635,74992040
1578158638,74992040
1578158641,75005912
1578158644,75005912
1578158647,75005912
1578158650,75005912
1578158653,75005912
1578158656,75005912
1578158659,75005912
1578158662,75026208
1578158665,75026208
1578158668,75026208
1578158671,75026208
1578158674,75026208
1578158677,75026208
1578158680,75026208
1578158683,75030488
1578158686,75032168
1578158689,75032168
1578158692,75038696
1578158695,75039536
1578158698,75039536
1578158701,75042464
1578158704,75045880
1578158707,75045880
1578158710,75045880
1578158713,75045880
1578158716,75045880
1578158719,75045880
1578158722,75049840
1578158725,75049840
1578158728,75053856
1578158731,75054392
1578158734,75054392
1578158737,75054392
1578158740,75054392
1578158743,75056400
1578158746,75056400
1578158749,75056400
1578158752,75056688
1578158755,75056688
1578158758,75056688
1578158761,75058936
1578158764,75069680
1578158767,75069680
1578158770,75069680
1578158773,75069680
1578158776,75069680
1578158779,75069680
1578158782,75075896
1578158785,75076280
1578158788,75076280
1578158791,75080800
1578158794,75082648
1578158797,75082648
1578158800,75082648
1578158803,75098432
1578158806,75098432
1578158809,75098432
1578158812,75104528
1578158815,75400008
1578158818,75409784
1578158821,75414888
1578158824,75414888
1578158827,75414888
1578158830,75414888
1578158833,75414888
1578158836,75416376
1578158839,75427912
1578158842,75436864
1578158845,75436864
1578158848,75436864
1578158851,75437416
1578158854,75437416
1578158857,75438136
1578158860,75438136
1578158863,75448464
1578158866,75448464
1578158869,75448464
1578158872,75450680
1578158875,75450680
1578158878,75451064
1578158881,75464200
1578158884,75464200
1578158887,75464200
1578158890,75464200
1578158893,75464200
1578158896,75464200
1578158899,75464200
1578158902,75498048
1578158905,75498048
1578158908,75498048
1578158911,75498048
1578158914,75498048
1578158917,75498048
1578158920,75498424
1578158923,75505368
1578158926,75505368
1578158929,75613784
1578158932,76471576
1578158935,76471576
1578158938,76471576
1578158941,76476344
1578158944,76476344
1578158947,76476344
1578158950,76476344
1578158953,76476344
1578158956,76476344
1578158959,76476344
1578158962,76483784
1578158965,76483784
1578158968,76483784
1578158971,76483784
1578158974,76483784
1578158977,76485552
1578158980,76497040
1578158983,76511744
1578158986,76511744
1578158989,76511744
1578158992,76513032
1578158995,76513032
1578158998,76513384
1578159001,76515024
1578159004,76518664
1578159007,76519632
1578159010,76519632
1578159013,76519920
1578159016,76520992
1578159019,76520992
1578159022,76522024
1578159025,76522024
1578159028,76522024
1578159031,76522024
1578159034,76522024
1578159037,76522024
1578159040,76522024
1578159043,76528552
1578159046,76528552
1578159049,76528552
1578159052,76544688
1578159055,76544688
1578159058,76544688
1578159061,76552400
1578159064,76553496
1578159067,76555648
1578159070,76555648
1578159073,76555648
1578159076,76555648
1578159079,76555648
1578159082,76560448
1578159085,76560448
1578159088,76560448
1578159091,76560448
1578159094,76562392
1578159097,76562392
1578159100,76562392
1578159103,76571752
1578159106,76575984
1578159109,76575984
1578159112,76605976
1578159115,76606368
1578159118,76606368
1578159121,76609776
1578159124,76609776
1578159127,76609776
1578159130,76609776
1578159133,76609776
1578159136,76609776
1578159139,76609776
1578159142,76614448
1578159145,76614448
1578159148,76614448
1578159151,76614448
1578159154,76614448
1578159157,76614448
1578159160,76614448
1578159163,76620536
1578159166,76620536
1578159169,76620536
1578159172,76623200
1578159175,76623200
1578159178,76623200
1578159181,76632864
1578159184,76632864
1578159187,76632864
1578159190,76632864
1578159193,76632864
1578159196,76632864
1578159199,76632864
1578159202,76658040
1578159205,76869984
1578159208,79276032
1578159211,79282480
1578159214,79284288
1578159217,79284288
1578159220,79284576
1578159223,79408096
1578159226,79408096
1578159229,79408096
1578159232,79408096
1578159235,79408096
1578159238,79408096
1578159241,79409664
1578159244,79409664
1578159247,79409664
1578159250,79409664
1578159253,79409664
1578159256,79409664
1578159259,79409664
1578159262,79415296
1578159265,79415296
1578159268,79415296
1578159271,79415296
1578159274,79415296
1578159277,79415296
1578159280,79415296
1578159283,79416232
1578159286,79416232
1578159289,79416232
1578159292,79416232
1578159295,79416536
1578159298,79416536
1578159301,79416536
1578159304,79416536
1578159307,79416536
1578159310,79416536
1578159313,79416536
1578159316,79416536
1578159319,79416536
1578159322,79417504
1578159325,79417504
1578159328,79417504
1578159331,79417504
1578159334,79417504
1578159337,79417504
1578159340,79417504
1578159343,79426656
1578159346,79426656
1578159349,79426656
1578159352,79426656
1578159355,79426656
1578159358,79426656
1578159361,79431016
1578159364,79439800
1578159367,79440472
1578159370,79440472
1578159373,79440472
1578159376,79440472
1578159379,79440472
1578159382,79443376
1578159385,79443376
1578159388,79443376
1578159391,79443376
1578159394,79443376
1578159397,79443376
1578159400,79443376
1578159403,79482616
1578159406,79482616
1578159409,79764592
1578159412,79765904
1578159415,79765904
1578159418,79765904
1578159421,79767392
